pk_model,scenario,analysis_set,n_trials,dev_R_median,dev_R_p05,dev_R_p95,dev_T_median,dev_T_p05,dev_T_p95,armdiff_median,armdiff_p05,armdiff_p95,armdiff_mean,armdiff_abs_gt5_pct,rand_armdiff_abs_max
k2020,Vmax_up_080,i,2000,-0.427350427350426,-2.7209284090018,1.83035119951008,-0.880214944571378,-4.23643914231095,2.1412505623032,-0.515463917525771,-4.56160152740341,3.54610974610975,-0.534682582544595,5,0.854700854700859
k2020,ka_down_080,i,2000,-0.427350427350426,-2.7209284090018,1.83035119951008,-1.34022839905193,-4.8494983277592,2.30769230769231,-0.925925925925924,-5.26845681149386,3.36222051725075,-0.916874033100857,7.3,0.854700854700859
k2020,ke_down_125,i,2000,-0.427350427350426,-2.7209284090018,1.83035119951008,-0.264180264180261,-2.6714257964258,1.98897675533189,0.0493010711455035,-3.33712626473473,3.4786378249681,0.11370741196397,1.65,0.854700854700859
k2020,ke_up_080,i,2000,-0.427350427350426,-2.7209284090018,1.83035119951008,-0.427350427350426,-2.66892436703758,1.66946241712597,0,-3.37103490229108,3.27102803738318,-0.0500070555922188,1.35,0.854700854700859
k2016,F097,ii,2000,-0.965584205415901,-4.86756865731822,2.91740089425924,-1.05626765622553,-4.87240537240537,2.86099865047234,-0.0628800996907586,-5.4518206418037,5.69573407281819,-0.0681534708503157,13.95,0.854700854700859
k2016,F_down_080,ii,2000,-0.965584205415901,-4.86756865731822,2.91740089425924,-1.29176379176379,-5.72649572649573,2.82253711201079,-0.421818354443506,-6.38401156785788,5.5559115896209,-0.384786348854423,16.8,0.854700854700859
k2016,F_up_125,ii,2000,-0.965584205415901,-4.86756865731822,2.91740089425924,-0.553041729512316,-3.90720390720391,2.86383061383061,0.525511734846955,-4.83870967741935,5.61614862982325,0.448139752585509,11.95,0.854700854700859
k2016,KE110,ii,2000,-0.965584205415901,-4.86756865731822,2.91740089425924,-1.0522664199815,-4.90361883978905,2.68836897869156,-0.106335844875741,-5.53235900776204,5.61022108223773,-0.0612185466113659,14,0.854700854700859
k2016,KE120,ii,2000,-0.965584205415901,-4.86756865731822,2.91740089425924,-1.01838550055868,-4.714071724381,2.70987393832222,-0.0476721913050646,-5.31975099037917,5.42961826815861,-0.0653598029336247,13.25,0.854700854700859
k2016,S00,ii,2000,-0.965584205415901,-4.86756865731822,2.91740089425924,-0.940170940170937,-4.58130746558871,2.89783693009499,0,-5.41449033547742,5.66037735849056,0.0352389285262444,13.25,0.854700854700859
k2016,V2_up_080,ii,2000,-0.965584205415901,-4.86756865731822,2.91740089425924,-1.15635997988939,-4.26486633933442,1.85628815628816,-0.133096716947648,-5.16671355209523,4.73063418915953,-0.211158122867612,10.4,0.854700854700859
k2016,VM125,ii,2000,-0.965584205415901,-4.86756865731822,2.91740089425924,-1.59082653068218,-6.33877982192589,2.97745358090185,-0.707059988681383,-6.6833021243386,5.42943322109989,-0.661842330036638,18.3,0.854700854700859
k2016,Vmax_down_125,ii,2000,-0.965584205415901,-4.86756865731822,2.91740089425924,0.237156521429387,-2.9097576675985,3.35712397568067,1.22917782389432,-3.90831978665857,6.12582502648456,1.19560171784149,12.15,0.854700854700859
k2016,Vmax_up_080,ii,2000,-0.965584205415901,-4.86756865731822,2.91740089425924,-1.95670995670995,-7.1964146964147,3.32819566974496,-0.958710407239817,-7.63373923023046,5.64103669134587,-0.958370845173708,22.35,0.854700854700859
k2016,ka_down_080,ii,2000,-0.965584205415901,-4.86756865731822,2.91740089425924,-1.85675435675436,-7.62279577348071,3.86510172143975,-0.728813792723564,-8.04032347010104,6.02859330643956,-0.888084120624129,25.8,0.854700854700859
k2016,ke_down_125,ii,2000,-0.965584205415901,-4.86756865731822,2.91740089425924,-0.444989998181484,-4.51841440213533,3.32400624067291,0.525611426550199,-5.19991173874669,5.97358578775128,0.483275703964627,14.7,0.854700854700859
k2016,ke_up_080,ii,2000,-0.965584205415901,-4.86756865731822,2.91740089425924,-1.22100122100122,-4.70598290598291,2.60207636566332,-0.0467673964436237,-5.61937307861221,5.22805684071382,-0.205900356988989,13.6,0.854700854700859
k2020,F097,ii,2000,-0.693097038677973,-3.9856968428397,2.69866452991453,-0.733264320220844,-3.8463787674314,2.61453619909503,0,-4.88627450980392,4.69403180582305,-0.0145319619552338,8.9,0.854700854700859
k2020,F_down_080,ii,2000,-0.693097038677973,-3.9856968428397,2.69866452991453,-1.02858826996758,-4.85320877730745,2.8964056128742,-0.4015034718755,-5.52441967593984,4.83169452001555,-0.357356609405443,10.8,0.854700854700859
k2020,F_up_125,ii,2000,-0.693097038677973,-3.9856968428397,2.69866452991453,-0.301659125188543,-3.41068376068376,2.95350819622664,0.478760614705315,-4.40020187977052,5.15495274239752,0.400799730378681,9.3,0.854700854700859
k2020,KE110,ii,2000,-0.693097038677973,-3.9856968428397,2.69866452991453,-0.717948717948715,-4.03559785003084,2.49167349571662,-0.0221704910763805,-4.96082202111614,4.60814551849922,-0.0681583377147251,8.1,0.854700854700859
k2020,KE120,ii,2000,-0.693097038677973,-3.9856968428397,2.69866452991453,-0.832160871354599,-3.98827392652033,2.62218902995602,-0.0805171769977591,-4.75892857142857,4.52530568846358,-0.119596916687038,8.05,0.854700854700859
k2020,S00,ii,2000,-0.693097038677973,-3.9856968428397,2.69866452991453,-0.612408424908423,-3.89374362537468,2.72053110288404,0,-4.73719165085389,4.82409943121972,0.0674448719694195,8.9,0.854700854700859
k2020,V2_up_080,ii,2000,-0.693097038677973,-3.9856968428397,2.69866452991453,0.0718970058592703,-2.8438014218388,3.01659125188537,0.743939629552838,-3.61958149239077,5.38880426504188,0.767324649390328,8.75,0.854700854700859
k2020,VM125,ii,2000,-0.693097038677973,-3.9856968428397,2.69866452991453,-1.12411742846525,-5.40246354952238,2.7985347985348,-0.536302839331789,-5.94782066052228,5.08626417434444,-0.532082901682415,13.55,0.854700854700859
k2020,Vmax_down_125,ii,2000,-0.693097038677973,-3.9856968428397,2.69866452991453,0.543900543900548,-2.7008547008547,3.56042823156225,1.23579245970138,-3.51546391752577,5.62834456956248,1.15306856598733,9.5,0.854700854700859
