pk_model,scenario,mechanism,direction,auc_ratio,cmax_ratio,set,n_trials,fail_R_mean,fail_T_mean,diff_mean,diff_lo,diff_hi,diff_p05,diff_p95
k2020,KE120,ke,up,0.90100076164125,0.969195351141817,iii,2000,33.8551282051282,33.0901709401709,-0.764957264957265,-1.03232432674439,-0.497590203170135,-11.1111111111111,9.4017094017094
k2020,S00,-,-,1,1,iii,2000,33.8551282051282,33.6863247863248,-0.168803418803419,-0.444518811652708,0.10691197404587,-10.2564102564103,10.2564102564103
k2020,V2_up_080,V2,up,0.79979742585522,0.890882568755657,iii,2000,33.8551282051282,24.4722222222222,-9.38290598290598,-9.64424697654283,-9.12156498926913,-19.6581196581197,0
k2020,VM125,Vmax,up,0.866416882138219,0.962801048832624,iii,2000,33.8551282051282,38.3880341880342,4.53290598290598,4.25931209594828,4.80649986986368,-5.98290598290598,14.5299145299145
k2020,Vmax_down_125,Vmax,down,1.25092658233271,1.05342570107931,iii,2000,33.8551282051282,24.6346153846154,-9.22051282051282,-9.47840257997619,-8.96262306104945,-18.8034188034188,0.854700854700852
k2020,Vmax_up_080,Vmax,up,0.80009024618209,0.941322121145971,iii,2000,33.8551282051282,41.0440170940171,7.18888888888889,6.91268617512225,7.46509160265552,-3.41880341880341,17.0940170940171
k2020,ka_down_080,ka,down,0.800570249731887,0.632507704543837,iii,2000,33.8551282051282,46.8106837606838,12.9555555555556,12.6746357666606,13.2364753444506,2.56410256410256,23.0769230769231
k2020,ke_down_125,ke,down,1.2495748835008,1.06352537123811,iii,2000,33.8551282051282,34.4645299145299,0.609401709401709,0.340446669809326,0.878356748994093,-9.4017094017094,11.1111111111111
k2020,ke_up_080,ke,up,0.800201954152666,0.933475925199342,iii,2000,33.8551282051282,31.791452991453,-2.06367521367521,-2.33394257661717,-1.79340785073326,-11.965811965812,8.54700854700854
k2016,F097,F,down,0.952069739554753,0.965269785236406,iv,2000,66.1333333333333,66.7769230769231,0.643589743589744,0.370114918668927,0.91706456851056,-9.4017094017094,11.1111111111111
k2016,F_down_080,F,down,0.79988525403249,0.852080931927538,iv,2000,66.1333333333333,69.2209401709402,3.08760683760684,2.81928749600972,3.35592617920395,-6.83760683760684,12.8205128205128
k2016,F_up_125,F,up,1.25010656509896,1.17552651005478,iv,2000,66.1333333333333,63.4602564102564,-2.67307692307692,-2.9425758636998,-2.40357798245405,-12.8205128205128,7.69230769230769
k2016,KE110,ke,up,0.949282341895361,0.983774175412422,iv,2000,66.1333333333333,65.2504273504274,-0.882905982905983,-1.15749230478326,-0.608319661028709,-11.1111111111111,9.40170940170941
k2016,KE120,ke,up,0.903692855836844,0.968275339742282,iv,2000,66.1333333333333,64.5115384615385,-1.62179487179487,-1.89162894592904,-1.3519607976607,-11.965811965812,8.54700854700855
k2016,S00,-,-,1,1,iv,2000,66.1333333333333,66.2106837606838,0.0773504273504275,-0.195981441441611,0.350682296142466,-9.44444444444445,10.2564102564103
k2016,V2_up_080,V2,up,0.799717812019852,0.962983911224041,iv,2000,66.1333333333333,50.5380341880342,-15.5952991452991,-15.8744032575863,-15.316195033012,-25.6410256410256,-5.12820512820513
k2016,VM125,Vmax,up,0.864966317600168,0.960841383742847,iv,2000,66.1333333333333,71.5662393162393,5.43290598290598,5.17194964702253,5.69386231878944,-4.27350427350429,15.3846153846154
k2016,Vmax_down_125,Vmax,down,1.25088393369916,1.0544021629266,iv,2000,66.1333333333333,60.3598290598291,-5.77350427350427,-6.04465657093628,-5.50235197607227,-15.4273504273504,4.27350427350427
k2016,Vmax_up_080,Vmax,up,0.799417254503779,0.93845337546823,iv,2000,66.1333333333333,74.3029914529915,8.16965811965812,7.91290718614879,8.42640905316746,-1.7094017094017,17.9487179487179
k2016,ka_down_080,ka,down,0.799297411482507,0.631952944916229,iv,2000,66.1333333333333,79.6371794871795,13.5038461538462,13.2532836008314,13.7544087068609,4.27350427350429,23.0769230769231
k2016,ke_down_125,ke,down,1.24933521039854,1.06710162104024,iv,2000,66.1333333333333,71.0123931623932,4.87905982905983,4.61512101912584,5.14299863899382,-5.12820512820512,14.5299145299145
k2016,ke_up_080,ke,up,0.800334236753497,0.929468091140586,iv,2000,66.1333333333333,63.1076923076923,-3.02564102564103,-3.29246783214151,-2.75881421914054,-12.8205128205128,6.83760683760684
k2020,F097,F,down,0.952367656502161,0.965498850360188,iv,2000,72.6867521367521,73.1431623931624,0.456410256410257,0.201001724485254,0.711818788335259,-9.4017094017094,10.2564102564103
k2020,F_down_080,F,down,0.799619025640266,0.852142118063974,iv,2000,72.6867521367521,75.4452991452992,2.75854700854701,2.50792438863359,3.00916962846043,-6.83760683760683,11.965811965812
k2020,F_up_125,F,up,1.25037238459433,1.17607904174935,iv,2000,72.6867521367521,70.1474358974359,-2.53931623931624,-2.8012116675929,-2.27742081103958,-11.965811965812,6.88034188034186
k2020,KE110,ke,up,0.947805365835002,0.984234742561431,iv,2000,72.6867521367521,71.4705128205128,-1.21623931623932,-1.47351597241325,-0.958962660065388,-11.1111111111111,8.54700854700855
k2020,KE120,ke,up,0.90100076164125,0.969195351141817,iv,2000,72.6867521367521,70.6448717948718,-2.04188034188034,-2.30046764623614,-1.78329303752455,-11.965811965812,7.69230769230769
k2020,S00,-,-,1,1,iv,2000,72.6867521367521,72.6068376068376,-0.07991452991453,-0.337868793821725,0.178039733992665,-10.2564102564102,9.40170940170941
k2020,V2_up_080,V2,up,0.79979742585522,0.890882568755657,iv,2000,72.6867521367521,61.767094017094,-10.9196581196581,-11.1848711849882,-10.6544450543281,-20.5128205128205,-0.854700854700866
k2020,VM125,Vmax,up,0.866416882138219,0.962801048832624,iv,2000,72.6867521367521,77.0846153846154,4.39786324786325,4.14732582503353,4.64840067069297,-5.12820512820512,13.6752136752137
k2020,Vmax_down_125,Vmax,down,1.25092658233271,1.05342570107931,iv,2000,72.6867521367521,67.0358974358974,-5.6508547008547,-5.91327601890753,-5.38843338280187,-15.3846153846154,4.27350427350427
k2020,Vmax_up_080,Vmax,up,0.80009024618209,0.941322121145971,iv,2000,72.6867521367521,79.1277777777778,6.44102564102564,6.19419322576753,6.68785805628375,-3.41880341880341,15.3846153846154
k2020,ka_down_080,ka,down,0.800570249731887,0.632507704543837,iv,2000,72.6867521367521,85.425641025641,12.7388888888889,12.5063186250996,12.9714591526782,3.41880341880342,21.3675213675214
k2020,ke_down_125,ke,down,1.2495748835008,1.06352537123811,iv,2000,72.6867521367521,78.7183760683761,6.03162393162393,5.78345275086269,6.27979511238518,-3.41880341880342,15.3846153846154
k2020,ke_up_080,ke,up,0.800201954152666,0.933475925199342,iv,2000,72.6867521367521,68.2324786324786,-4.45427350427351,-4.71713366483595,-4.19141334371106,-14.5299145299145,5.12820512820514
