trial,scenario,endpoint,GMR,CI_lower,CI_upper,pass,n_R,n_T
13,Vmax_down_125,AUClast,1.289145,1.186117,1.401121,FALSE,117,117
13,Vmax_down_125,Cmax,1.027817,0.9616351,1.098553,TRUE,117,117
14,S00,AUCinf_A,1.030619,0.952112,1.115599,TRUE,91,92
14,S00,AUCinf_B,1.028551,0.9530578,1.110024,TRUE,114,116
14,S00,AUCinf_C,1.037516,0.9581004,1.123513,TRUE,117,117
14,S00,AUCinf_true,1.032004,0.9551797,1.115006,TRUE,117,117
14,S00,AUClast,1.032082,0.9522407,1.118618,TRUE,117,117
14,S00,Cmax,1.000359,0.9256131,1.081142,TRUE,117,117
14,Vmax_down_125,AUCinf_A,1.202748,1.113004,1.299727,FALSE,91,106
14,Vmax_down_125,AUCinf_B,1.263329,1.169903,1.364217,FALSE,114,117
14,Vmax_down_125,AUCinf_C,1.291599,1.195599,1.395306,FALSE,117,117
14,Vmax_down_125,AUCinf_true,1.280346,1.186223,1.381938,FALSE,117,117
14,Vmax_down_125,AUClast,1.288815,1.19242,1.393003,FALSE,117,117
14,Vmax_down_125,Cmax,1.056579,0.9800287,1.139108,TRUE,117,117
15,S00,AUCinf_A,1.006172,0.9260354,1.093243,TRUE,97,90
15,S00,AUCinf_B,1.002584,0.9306359,1.080094,TRUE,115,115
15,S00,AUCinf_C,0.9904031,0.9158339,1.071044,TRUE,117,117
15,S00,AUCinf_true,0.9884308,0.9176093,1.064718,TRUE,117,117
15,S00,AUClast,0.9920301,0.9172726,1.07288,TRUE,117,117
15,S00,Cmax,1.02923,0.9601633,1.103265,TRUE,117,117
15,Vmax_down_125,AUCinf_A,1.168151,1.084412,1.258356,FALSE,97,109
15,Vmax_down_125,AUCinf_B,1.237293,1.148589,1.332848,FALSE,115,117
15,Vmax_down_125,AUCinf_C,1.255209,1.165538,1.351778,FALSE,117,117
15,Vmax_down_125,AUCinf_true,1.240252,1.15447,1.332407,FALSE,117,117
15,Vmax_down_125,AUClast,1.256484,1.166575,1.353323,FALSE,117,117
15,Vmax_down_125,Cmax,1.089962,1.020336,1.164339,TRUE,117,117
16,S00,AUCinf_A,1.047486,0.9583945,1.14486,TRUE,76,96
16,S00,AUCinf_B,1.075873,0.9967838,1.161238,TRUE,114,115
16,S00,AUCinf_C,1.074152,0.992087,1.163006,TRUE,117,117
16,S00,AUCinf_true,1.065957,0.9878138,1.150283,TRUE,117,117
16,S00,AUClast,1.068293,0.9859011,1.157571,TRUE,117,117
16,S00,Cmax,1.068162,0.9928604,1.149175,TRUE,117,117
16,Vmax_down_125,AUCinf_A,1.234189,1.136651,1.340097,FALSE,76,97
16,Vmax_down_125,AUCinf_B,1.329391,1.231441,1.435133,FALSE,114,116
16,Vmax_down_125,AUCinf_C,1.341532,1.242291,1.448702,FALSE,117,117
16,Vmax_down_125,AUCinf_true,1.32716,1.231965,1.429711,FALSE,117,117
16,Vmax_down_125,AUClast,1.343891,1.244511,1.451206,FALSE,117,117
16,Vmax_down_125,Cmax,1.128152,1.05151,1.210381,TRUE,117,117
17,S00,AUCinf_A,0.9089117,0.832833,0.9919402,TRUE,102,93
17,S00,AUCinf_B,0.9041703,0.8333104,0.9810557,TRUE,116,115
17,S00,AUCinf_C,0.8975028,0.8244689,0.9770064,TRUE,117,117
17,S00,AUCinf_true,0.8927841,0.8224467,0.969137,TRUE,117,117
17,S00,AUClast,0.8954728,0.8223844,0.9750568,TRUE,117,117
17,S00,Cmax,0.9392334,0.8800957,1.002345,TRUE,117,117
17,Vmax_down_125,AUCinf_A,1.108107,1.019106,1.20488,TRUE,102,101
17,Vmax_down_125,AUCinf_B,1.11759,1.031839,1.210467,TRUE,116,117
17,Vmax_down_125,AUCinf_C,1.133899,1.044498,1.230952,TRUE,117,117
