model,weight,timing,definition_day,schedule,schedule_label,n_subjects,min_interval_day,pct_ge1,ge1_lo,ge1_hi,pct_ge2,ge2_lo,ge2_hi,pct_ge3,ge3_lo,ge3_hi,n_cliff_in_day29_57,pct_ge1_cliff_in_day29_57,pct_ge2_cliff_in_day29_57,pct_ge3_cliff_in_day29_57
k2016,obese_90_110,nominal,2,plus_40_47,+Day 40·47,20000,3,53.595,52.9032172066883,54.2854020540684,0,0,0.0192036056104625,0,0,0.0192036056104625,11874,51.8612093649992,0,0
k2016,obese_90_110,nominal,1,daily_29_57,Day 29–57 매일,20000,1,78.165,77.5870675190152,78.7321150899444,26.67,26.0616285725489,27.2873318298289,0,0,0.0192036056104625,13680,100,35.6944444444444,0
k2016,obese_90_110,nominal,2,daily_29_57,Day 29–57 매일,20000,1,82.175,81.6384188351546,82.6992236446351,70.835,70.2011228855867,71.4608749719554,60.27,59.5899131753995,60.9461424040081,11874,100,100,91.9151086407276
k2016,obese_90_110,windowed,1,current,현행,20000,7,19.62,19.0754836452965,20.1761844654724,0,0,0.0192036056104625,0,0,0.0192036056104625,13680,16.7251461988304,0,0
k2016,obese_90_110,windowed,2,current,현행,20000,7,42.79,42.105739456173,43.477029703756,0,0,0.0192036056104625,0,0,0.0192036056104625,11874,36.3483240693953,0,0
k2016,obese_90_110,windowed,1,plus_39_46,+Day 39·46,20000,3,25.865,25.2627979425153,26.4764716379128,0.015,0.00510148179949506,0.0440963627292843,0,0,0.0192036056104625,13680,25.9795321637427,0.0219298245614035,0
k2016,obese_90_110,windowed,2,plus_39_46,+Day 39·46,20000,3,53.305,52.612994994282,53.9957356473872,1.58,1.41624129111569,1.76235548055748,0,0,0.0192036056104625,11874,54.0761327269665,2.66127673909382,0
k2016,obese_90_110,windowed,1,plus_39_46_53,+Day 39·46·53,20000,3,26.765,26.1559177778616,27.3830061376656,0.015,0.00510148179949506,0.0440963627292843,0,0,0.0192036056104625,13680,26.812865497076,0.0219298245614035,0
k2016,obese_90_110,windowed,2,plus_39_46_53,+Day 39·46·53,20000,3,54.49,53.7990512290207,55.1792242871956,1.62,1.45409886996291,1.80448253882578,0,0,0.0192036056104625,11874,55.5415192858346,2.72865083375442,0
k2016,obese_90_110,windowed,1,plus_32_39_46_53,+Day 32·39·46·53,20000,3,34.015,33.3615405903506,34.6745988023631,0.02,0.00777787560502285,0.0514180485631955,0,0,0.0192036056104625,13680,37.8947368421053,0.0292397660818713,0
k2016,obese_90_110,windowed,2,plus_32_39_46_53,+Day 32·39·46·53,20000,3,68.44,67.7924060867271,69.0805116235237,3.49,3.24444910515913,3.75341408877972,0,0,0.0192036056104625,11874,78.9540171803942,4.52248610409298,0
k2016,obese_90_110,windowed,1,plus_40_47,+Day 40·47,20000,3,25.39,24.7915631481133,25.9978888665682,0.02,0.00777787560502285,0.0514180485631955,0,0,0.0192036056104625,13680,25.3947368421053,0.0292397660818713,0
k2016,obese_90_110,windowed,2,plus_40_47,+Day 40·47,20000,3,52.52,51.8275111062374,53.2115210320399,0.935,0.810720090162558,1.07812440802299,0,0,0.0192036056104625,11874,53.0402560215597,1.5748694626916,0
k2016,obese_90_110,windowed,1,daily_29_57,Day 29–57 매일,20000,1,66.7,66.043690027852,67.3498959678741,31.765,31.1233293274332,32.4136742275329,5.785,5.46985800886264,6.11712373957869,13680,84.203216374269,43.9473684210526,8.3406432748538
k2016,obese_90_110,windowed,2,daily_29_57,Day 29–57 매일,20000,1,82.255,81.719337209014,82.7782745450067,67.79,67.1390302420565,68.4341371150673,45.475,44.7858263289006,46.1659115974072,11874,99.9915782381674,96.2270506990062,68.99949469429
k2016,obese_130_150,nominal,1,current,현행,20000,7,19.515,18.9716197148504,20.0700887234903,0,0,0.0192036056104625,0,0,0.0192036056104625,7785,10.9055876685934,0,0
