scenario,endpoint,gmr_geo,n_R_mean,n_T_mean,n_trials,mechanism,direction,target,multiplier,auc_ratio,cmax_ratio,truth,rel_bias_pct,model
Vmax_down_143,AUCinf_C,1.43204673856124,117,117,2000,Vmax,down,1.43,0.484056251502108,1.43124267718369,1.08318773319823,1.43124267718369,0.0561792483111168,k2016
Vmax_down_143,AUCinf_true,1.43030492826816,117,117,2000,Vmax,down,1.43,0.484056251502108,1.43124267718369,1.08318773319823,1.43124267718369,-0.0655199101087911,k2016
Vmax_down_143,AUClast,1.43757028415721,117,117,2000,Vmax,down,1.43,0.484056251502108,1.43124267718369,1.08318773319823,1.43124267718369,0.442105805981896,k2016
Vmax_down_143,Cmax,1.09168578509099,117,117,2000,Vmax,down,1.43,0.484056251502108,1.43124267718369,1.08318773319823,1.08318773319823,0.784541001740258,k2016
Vmax_up_070,AUCinf_A,0.759843267712354,94.0885,68.5835,2000,Vmax,up,0.7,1.65357721402644,0.699429518190212,0.898977266613688,0.699429518190212,8.63757504522591,k2016
Vmax_up_070,AUCinf_B,0.743209126283442,115.373,105.0805,2000,Vmax,up,0.7,1.65357721402644,0.699429518190212,0.898977266613688,0.699429518190212,6.25933091964865,k2016
Vmax_up_070,AUCinf_C,0.679941494016368,117,116.9995,2000,Vmax,up,0.7,1.65357721402644,0.699429518190212,0.898977266613688,0.699429518190212,-2.78627419447068,k2016
Vmax_up_070,AUCinf_true,0.698632529048366,117,117,2000,Vmax,up,0.7,1.65357721402644,0.699429518190212,0.898977266613688,0.699429518190212,-0.113948456723534,k2016
Vmax_up_070,AUClast,0.680491362420623,117,116.9995,2000,Vmax,up,0.7,1.65357721402644,0.699429518190212,0.898977266613688,0.699429518190212,-2.70765749472394,k2016
Vmax_up_070,Cmax,0.888597206679911,117,116.9995,2000,Vmax,up,0.7,1.65357721402644,0.699429518190212,0.898977266613688,0.898977266613688,-1.1546521051502,k2016
Vmax_up_075,AUCinf_A,0.799879393171279,94.0885,74.0045,2000,Vmax,up,0.75,1.5181514690658,0.749345508151061,0.919563308404305,0.749345508151061,6.74373629661236,k2016
Vmax_up_075,AUCinf_B,0.783661547530165,115.373,107.811,2000,Vmax,up,0.75,1.5181514690658,0.749345508151061,0.919563308404305,0.749345508151061,4.57946821670754,k2016
Vmax_up_075,AUCinf_C,0.733573373971208,117,117,2000,Vmax,up,0.75,1.5181514690658,0.749345508151061,0.919563308404305,0.749345508151061,-2.10478797941543,k2016
Vmax_up_075,AUCinf_true,0.748533156397781,117,117,2000,Vmax,up,0.75,1.5181514690658,0.749345508151061,0.919563308404305,0.749345508151061,-0.108408170122221,k2016
Vmax_up_075,AUClast,0.733216045075831,117,117,2000,Vmax,up,0.75,1.5181514690658,0.749345508151061,0.919563308404305,0.749345508151061,-2.15247344513058,k2016
Vmax_up_075,Cmax,0.91099828806429,117,117,2000,Vmax,up,0.75,1.5181514690658,0.749345508151061,0.919563308404305,0.919563308404305,-0.931422585235364,k2016
Vmax_up_080,AUCinf_A,0.841191905899189,94.1978,79.0581,10000,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,0.799417254503779,5.22563794564837,k2016
Vmax_up_080,AUCinf_B,0.826178221637248,115.4059,110.1275,10000,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,0.799417254503779,3.34755936060955,k2016
Vmax_up_080,AUCinf_C,0.788365039238462,117,117,10000,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,0.799417254503779,-1.38253398998469,k2016
Vmax_up_080,AUCinf_true,0.799580537201807,117,117,10000,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,0.799417254503779,0.0204252156315254,k2016
Vmax_up_080,AUClast,0.787409961096479,117,117,10000,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,0.799417254503779,-1.50200578479553,k2016
Vmax_up_080,Cmax,0.933115305294108,117,117,10000,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,0.93845337546823,-0.568815703972392,k2016
Vmax_up_085,AUCinf_A,0.879743373468824,94.0885,83.484,2000,Vmax,up,0.85,1.28254589997052,0.849537336749722,0.955792809548142,0.849537336749722,3.55558671908041,k2016
Vmax_up_085,AUCinf_B,0.867185274322637,115.373,111.992,2000,Vmax,up,0.85,1.28254589997052,0.849537336749722,0.955792809548142,0.849537336749722,2.07735867624548,k2016
Vmax_up_085,AUCinf_C,0.840809506775939,117,117,2000,Vmax,up,0.85,1.28254589997052,0.849537336749722,0.955792809548142,0.849537336749722,-1.02736272983304,k2016
Vmax_up_085,AUCinf_true,0.848691734973495,117,117,2000,Vmax,up,0.85,1.28254589997052,0.849537336749722,0.955792809548142,0.849537336749722,-0.0995367407231273,k2016
Vmax_up_085,AUClast,0.839576270768696,117,117,2000,Vmax,up,0.85,1.28254589997052,0.849537336749722,0.955792809548142,0.849537336749722,-1.17252833396779,k2016
Vmax_up_085,Cmax,0.950596668740736,117,117,2000,Vmax,up,0.85,1.28254589997052,0.849537336749722,0.955792809548142,0.955792809548142,-0.54364719586687,k2016
Vmax_up_090,AUCinf_A,0.919805470995382,94.0885,87.7605,2000,Vmax,up,0.9,1.18015786265738,0.899596810492939,0.971712808191971,0.899596810492939,2.24641308936715,k2016
