bin,n,pass_pct,lo,hi,config,model,ratio
0.01,547,83.363802559415,80.012508661696,86.2497514051906,F3A,k2016,1.01005016708417
0.13,540,38.3333333333333,34.3286556946937,42.5028274597485,F3A,k2016,1.13882838332462
-0.29,362,0,0,1.05003375863338,F3A,k2016,0.748263567578565
-0.31,344,0,8.67361737988404e-17,1.10437060427415,F3A,k2016,0.733446956224289
-0.23,399,1.2531328320802,0.536419021109328,2.8995378591022,F3A,k2016,0.794533602503334
-0.11,544,47.2426470588235,43.0814270034458,51.4425361765992,F3A,k2016,0.895834135296528
0.27,358,0.279329608938548,0.0493255642690617,1.56504412120935,F3A,k2016,1.30996445073325
0.29,337,0,0,1.12705151362323,F3A,k2016,1.33642748802547
0.33,293,0,0,1.29411128619151,F3A,k2016,1.39096812846378
-0.01,572,82.1678321678322,78.8194469483042,85.0870318859313,F3A,k2016,0.990049833749168
-0.07,512,68.359375,64.2069334437522,72.2383729164232,F3A,k2016,0.932393819905948
-0.13,476,36.1344537815126,31.9457580508573,40.545155859663,F3A,k2016,0.878095430920561
-0.33,319,0,0,1.18989018161625,F3A,k2016,0.718923733431926
0.19,460,7.60869565217391,5.52149572925993,10.3980512229324,F3A,k2016,1.20924959765725
0.23,428,1.4018691588785,0.644030884229143,3.02431973313752,F3A,k2016,1.25860000992948
0.63,11,0,0,25.8832966968032,F3A,k2016,1.87761057926434
0.17,554,14.6209386281588,11.9225180054341,17.8066203005088,F3A,k2016,1.18530485132037
-0.27,357,0.280112044817927,0.0494637789843685,1.56937980949497,F3A,k2016,0.763379494336853
0.09,549,63.3879781420765,59.2781564637768,67.3117451535108,F3A,k2016,1.09417428370521
-0.19,457,7.22100656455142,5.18767276052539,9.96753028900499,F3A,k2016,0.826959133943362
-0.05,562,75.8007117437722,72.0923138056856,79.1587911600777,F3A,k2016,0.951229424500714
0.11,516,51.1627906976744,46.8571913110689,55.4512047963179,F3A,k2016,1.11627807045887
0.35,299,0,0,1.26847190462405,F3A,k2016,1.41906754859326
-0.15,464,23.7068965517241,20.0630399012685,27.7825399635301,F3A,k2016,0.860707976425058
-0.03,562,78.4697508896797,74.8842637232594,81.668679687238,F3A,k2016,0.970445533548508
-0.25,419,0,0,0.908486795833115,F3A,k2016,0.778800783071405
-0.09,544,59.9264705882353,55.7527348751243,63.9609976767139,F3A,k2016,0.913931185271228
0.07,525,70.8571428571429,66.8297142763242,74.581562458364,F3A,k2016,1.07250818125422
0.21,434,5.06912442396313,3.37110431176951,7.55555826366428,F3A,k2016,1.23367805995674
-0.67,25,0,0,13.3192250939048,F3A,k2016,0.511708577786543
-0.17,451,10.8647450110865,8.31632218538343,14.0742178249197,F3A,k2016,0.843664816596384
0.05,555,76.3963963963964,72.6895729286024,79.7403238471861,F3A,k2016,1.05127109637602
-0.61,65,0,0,5.58015313228569,F3A,k2016,0.5433508690745
-0.41,224,0,0,1.68602274606978,F3A,k2016,0.663650250136319
-0.37,267,0,0,1.41834224251365,F3A,k2016,0.690734330637355
-0.35,296,0,0,1.28116333071583,F3A,k2016,0.704688089718713
0.31,336,0,0,1.13036791744734,F3A,k2016,1.36342511413218
0.47,141,0,0,2.65218180759256,F3A,k2016,1.59999419321736
-0.21,476,3.57142857142857,2.24158799574287,5.64465403796906,F3A,k2016,0.810584245970187
-0.53,121,0,0,3.07706979474783,F3A,k2016,0.588604969678355
0.49,95,0,0,3.8864853539473,F3A,k2016,1.63231621995538
0.43,156,0,0,2.40329314374149,F3A,k2016,1.53725752354828
