scenario,n_trials,P2_minus_F3A,P2_minus_F3A_lo,P2_minus_F3A_hi,P2_minus_F3B,P2_minus_F3B_lo,P2_minus_F3B_hi,P2_minus_F3C,P2_minus_F3C_lo,P2_minus_F3C_hi,G2_minus_P2,G2_minus_P2_lo,G2_minus_P2_hi,P2_pass_AUCinfA_fail,mechanism,direction,target,multiplier,auc_ratio,cmax_ratio,model,region
Vmax_down_118,2000,0.45,0.156594275414347,0.743405724585653,0.1,-0.0385557131705266,0.238555713170527,0.2,0.00415072760084866,0.395849272399151,32.85,30.7495320951003,34.9504679048997,0.45,Vmax,down,1.18,0.742622715127721,1.18042880851468,1.04107033396906,k2016,범위 안
Vmax_down_125,10000,0.02,-0.0077166904099087,0.0477166904099087,0.03,-0.00394417675578445,0.0639441767557844,0.03,-0.00394417675578445,0.0639441767557844,21.91,21.0982995650539,22.7217004349461,0.02,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,k2016,경계
Vmax_down_133,2000,0,0,0,0,0,0,0,0,0,5.65,4.63786866605027,6.66213133394973,0,Vmax,down,1.33,0.576424176113221,1.33087858987313,1.06803815759157,k2016,범위 밖
Vmax_down_143,2000,0,0,0,0,0,0,0,0,0,0.4,0.123304969726386,0.676695030273614,0,Vmax,down,1.43,0.484056251502108,1.43124267718369,1.08318773319823,k2016,범위 밖
Vmax_up_070,2000,0,0,0,0,0,0,0,0,0,0.6,0.261459593495079,0.938540406504921,0,Vmax,up,0.7,1.65357721402644,0.699429518190212,0.898977266613688,k2016,범위 밖
Vmax_up_075,2000,0,0,0,0,0,0,0,0,0,5,4.04459282431493,5.95540717568508,0,Vmax,up,0.75,1.5181514690658,0.749345508151061,0.919563308404305,k2016,범위 밖
Vmax_up_080,10000,0.18,0.0969164887739201,0.26308351122608,0,0,0,0.19,0.104644082476715,0.275355917523285,20.21,19.414167545726,21.005832454274,0.18,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,k2016,경계
Vmax_up_085,2000,1.35,0.844108802212872,1.85589119778713,0,0,0,0.7,0.334518550870153,1.06548144912985,30.75,28.6026817510274,32.8973182489726,1.35,Vmax,up,0.85,1.28254589997052,0.849537336749722,0.955792809548142,k2016,범위 안
Vmax_up_090,2000,3.55,2.73883914095358,4.36116085904642,0.1,-0.0385557131705266,0.238555713170527,0.45,0.156594275414347,0.743405724585653,13.5,11.6004069179906,15.3995930820094,3.55,Vmax,up,0.9,1.18015786265738,0.899596810492939,0.971712808191971,k2016,범위 안
Vmax_up_095,2000,1.2,0.7226787280153,1.6773212719847,0.2,0.00415072760084866,0.395849272399151,0.25,0.0310887148959588,0.468911285104041,1.5,0.636787745360185,2.36321225463982,1.2,Vmax,up,0.95,1.08594365380924,0.949938537515853,0.986460696182769,k2016,범위 안
