model,scenario,region,mechanism,direction,target,multiplier,auc_ratio,contrast,a,b,flag_set,meaning,n_trials,pct_a,pct_b,est,lo,hi,note
k2016,Vmax_down_125,boundary,Vmax,down,1.25,0.660178624277622,1.25088393369916,total_i,G2_Ai,P2,(i),total G2-A minus P2 = extrapolation minus selection,10000,12.69,2.67,10.02,9.42625985442739,10.6137401455726,""
k2016,Vmax_down_125,boundary,Vmax,down,1.25,0.660178624277622,1.25088393369916,subst_ii,G2_Cii,P2,(ii),rule C minus P2,10000,3.37,2.67,0.7,0.529677492589164,0.870322507410836,""
k2016,Vmax_down_125,boundary,Vmax,down,1.25,0.660178624277622,1.25088393369916,subst_i,G2_Ci,P2,(i),rule C minus P2,10000,3.46,2.67,0.79,0.601613772996781,0.978386227003219,""
k2016,Vmax_down_125,boundary,Vmax,down,1.25,0.660178624277622,1.25088393369916,flag_A,G2_Ai,G2_Aii,(i) vs (ii),"flag set (i) minus (ii), rule A",10000,12.69,24.58,-11.89,-12.5534246403279,-11.2265753596721,""
k2016,Vmax_down_125,boundary,Vmax,down,1.25,0.660178624277622,1.25088393369916,flag_C,G2_Ci,G2_Cii,(i) vs (ii),"flag set (i) minus (ii), rule C",10000,3.46,3.37,0.09,-0.0499653079610749,0.229965307961075,""
k2016,ke_down_125,boundary,ke,down,1.25,0.632567348266282,1.24933521039854,extrap,G2_B,P2,-,extrapolation effect (rule B minus AUClast),10000,4.09,3.37,0.72,0.474028541620097,0.965971458379903,""
k2016,ke_down_125,boundary,ke,down,1.25,0.632567348266282,1.24933521039854,sel_ii,G2_B,G2_Aii,(ii),dropout/selection effect (rule B minus rule A),10000,4.09,6.95,-2.86,-3.32210114864316,-2.39789885135684,""
k2016,ke_down_125,boundary,ke,down,1.25,0.632567348266282,1.24933521039854,sel_i,G2_B,G2_Ai,(i),dropout/selection effect (rule B minus rule A),10000,4.09,4.93,-0.84,-1.21256360039378,-0.467436399606224,""
k2016,ke_down_125,boundary,ke,down,1.25,0.632567348266282,1.24933521039854,total_ii,G2_Aii,P2,(ii),total G2-A minus P2 = extrapolation minus selection,10000,6.95,3.37,3.58,3.11155600994061,4.04844399005939,""
k2016,ke_down_125,boundary,ke,down,1.25,0.632567348266282,1.24933521039854,total_i,G2_Ai,P2,(i),total G2-A minus P2 = extrapolation minus selection,10000,4.93,3.37,1.56,1.17313400914258,1.94686599085742,""
k2016,ke_down_125,boundary,ke,down,1.25,0.632567348266282,1.24933521039854,subst_ii,G2_Cii,P2,(ii),rule C minus P2,10000,3.63,3.37,0.26,0.116055630994967,0.403944369005033,""
k2016,ke_down_125,boundary,ke,down,1.25,0.632567348266282,1.24933521039854,subst_i,G2_Ci,P2,(i),rule C minus P2,10000,3.52,3.37,0.15,-0.0127884289121977,0.312788428912198,""
k2016,ke_down_125,boundary,ke,down,1.25,0.632567348266282,1.24933521039854,flag_A,G2_Ai,G2_Aii,(i) vs (ii),"flag set (i) minus (ii), rule A",10000,4.93,6.95,-2.02,-2.40002948381677,-1.63997051618323,""
k2016,ke_down_125,boundary,ke,down,1.25,0.632567348266282,1.24933521039854,flag_C,G2_Ci,G2_Cii,(i) vs (ii),"flag set (i) minus (ii), rule C",10000,3.52,3.63,-0.11,-0.247187397724564,0.0271873977245637,""
k2016,S00,identical,-,-,1,1,1,extrap,G2_B,P2,-,extrapolation effect (rule B minus AUClast),10000,99.8,99.55,0.25,0.148270139119803,0.351729860880197,""
k2016,S00,identical,-,-,1,1,1,sel_ii,G2_B,G2_Aii,(ii),dropout/selection effect (rule B minus rule A),10000,99.8,99.33,0.47,0.322305589758823,0.617694410241177,""
k2016,S00,identical,-,-,1,1,1,sel_i,G2_B,G2_Ai,(i),dropout/selection effect (rule B minus rule A),10000,99.8,99.51,0.29,0.170909659422739,0.409090340577261,""
k2016,S00,identical,-,-,1,1,1,total_ii,G2_Aii,P2,(ii),total G2-A minus P2 = extrapolation minus selection,10000,99.33,99.55,-0.22,-0.388555758480142,-0.0514442415198578,""
k2016,S00,identical,-,-,1,1,1,total_i,G2_Ai,P2,(i),total G2-A minus P2 = extrapolation minus selection,10000,99.51,99.55,-0.04,-0.181339905656864,0.101339905656864,""
k2016,S00,identical,-,-,1,1,1,subst_ii,G2_Cii,P2,(ii),rule C minus P2,10000,99.57,99.55,0.02,-0.0419813627736146,0.0819813627736146,""
k2016,S00,identical,-,-,1,1,1,subst_i,G2_Ci,P2,(i),rule C minus P2,10000,99.59,99.55,0.04,-0.0333346133289845,0.113334613328985,""
k2016,S00,identical,-,-,1,1,1,flag_A,G2_Ai,G2_Aii,(i) vs (ii),"flag set (i) minus (ii), rule A",10000,99.51,99.33,0.18,0.0624492141810849,0.297550785818915,""
k2016,S00,identical,-,-,1,1,1,flag_C,G2_Ci,G2_Cii,(i) vs (ii),"flag set (i) minus (ii), rule C",10000,99.59,99.57,0.02,-0.0478974074046524,0.0878974074046524,""
k2020,F_down_080,boundary,F,down,0.8,0.871335777735966,0.799619025640266,extrap,G2_B,P2,-,extrapolation effect (rule B minus AUClast),10000,6.23,3.7,2.53,2.20401682289989,2.85598317710011,""
k2020,F_down_080,boundary,F,down,0.8,0.871335777735966,0.799619025640266,sel_ii,G2_B,G2_Aii,(ii),dropout/selection effect (rule B minus rule A),10000,6.23,8.33,-2.1,-2.54072637825472,-1.65927362174528,""
k2020,F_down_080,boundary,F,down,0.8,0.871335777735966,0.799619025640266,sel_i,G2_B,G2_Ai,(i),dropout/selection effect (rule B minus rule A),10000,6.23,6.88,-0.65,-0.994311822317173,-0.305688177682827,""
k2020,F_down_080,boundary,F,down,0.8,0.871335777735966,0.799619025640266,total_ii,G2_Aii,P2,(ii),total G2-A minus P2 = extrapolation minus selection,10000,8.33,3.7,4.63,4.15976356269766,5.10023643730234,""
k2020,F_down_080,boundary,F,down,0.8,0.871335777735966,0.799619025640266,total_i,G2_Ai,P2,(i),total G2-A minus P2 = extrapolation minus selection,10000,6.88,3.7,3.18,2.78414142387918,3.57585857612082,""
k2020,F_down_080,boundary,F,down,0.8,0.871335777735966,0.799619025640266,subst_ii,G2_Cii,P2,(ii),rule C minus P2,10000,3.97,3.7,0.27,0.124734279707964,0.415265720292036,""
k2020,F_down_080,boundary,F,down,0.8,0.871335777735966,0.799619025640266,subst_i,G2_Ci,P2,(i),rule C minus P2,10000,4.45,3.7,0.75,0.561550971672924,0.938449028327076,""
k2020,F_down_080,boundary,F,down,0.8,0.871335777735966,0.799619025640266,flag_A,G2_Ai,G2_Aii,(i) vs (ii),"flag set (i) minus (ii), rule A",10000,6.88,8.33,-1.45,-1.83052345840631,-1.06947654159369,""
k2020,F_down_080,boundary,F,down,0.8,0.871335777735966,0.799619025640266,flag_C,G2_Ci,G2_Cii,(i) vs (ii),"flag set (i) minus (ii), rule C",10000,4.45,3.97,0.48,0.307147868465202,0.652852131534798,""
k2020,V2_up_080,boundary,V2,up,0.8,2.27730854120339,0.79979742585522,extrap,G2_B,P2,-,extrapolation effect (rule B minus AUClast),20000,3.71,5.18,-1.47,-1.6522069543994,-1.2877930456006,""
k2020,V2_up_080,boundary,V2,up,0.8,2.27730854120339,0.79979742585522,sel_ii,G2_B,G2_Aii,(ii),dropout/selection effect (rule B minus rule A),20000,3.71,1.06,2.65,2.41603589268032,2.88396410731968,""
k2020,V2_up_080,boundary,V2,up,0.8,2.27730854120339,0.79979742585522,sel_i,G2_B,G2_Ai,(i),dropout/selection effect (rule B minus rule A),20000,3.71,2.295,1.415,1.22371148108239,1.60628851891761,""
k2020,V2_up_080,boundary,V2,up,0.8,2.27730854120339,0.79979742585522,total_ii,G2_Aii,P2,(ii),total G2-A minus P2 = extrapolation minus selection,20000,1.06,5.18,-4.12,-4.4030253321625,-3.8369746678375,""
k2020,V2_up_080,boundary,V2,up,0.8,2.27730854120339,0.79979742585522,total_i,G2_Ai,P2,(i),total G2-A minus P2 = extrapolation minus selection,20000,2.295,5.18,-2.885,-3.13104868851091,-2.63895131148909,""
k2020,V2_up_080,boundary,V2,up,0.8,2.27730854120339,0.79979742585522,subst_ii,G2_Cii,P2,(ii),rule C minus P2,20000,5.005,5.18,-0.175,-0.288840631017607,-0.0611593689823928,""
