model,scenario,mechanism,direction,target,multiplier,endpoint,truth_metric,true_ratio,truth_se_log,n_trials,mean_log_gmr,bias_log,bias_mc_se,bias_lo,bias_hi,bias_pct,toward_one,bias_toward_one_log,note
k2016,Vmax_up_080,Vmax,up,0.8,1.39486202241965,AUCinf_Ai,AUC0-inf,0.799417254503779,0.000157345995261813,10000,-0.179807065590467,0.0440651830294231,0.000519266618731375,0.0430474391583357,0.0450829269005104,4.50504722240521,TRUE,0.0440651830294231,""
k2016,Vmax_up_080,Vmax,up,0.8,1.39486202241965,AUCinf_Ci,AUC0-inf,0.799417254503779,0.000157345995261813,10000,-0.233211757430747,-0.00933950881085735,0.00050949941171174,-0.0103381093079567,-0.00834090831375799,-0.9296031057343,FALSE,-0.00933950881085735,""
k2016,Vmax_up_080,Vmax,up,0.8,1.39486202241965,AUCinf_true,AUC0-inf,0.799417254503779,0.000157345995261813,10000,-0.223668017320206,0.000204231299683472,0.000476929415694227,-0.000730533178244946,0.00113899577761189,0.0204252156315254,TRUE,0.000204231299683472,reference: individual model AUC0-inf of trial subjects (no NCA)
k2016,ka_down_080,ka,down,0.8,0.440433361793372,Cmax,Cmax,0.631952944916229,0.000400161830750002,10000,-0.446820303696619,0.0121200381569889,0.000530061700634621,0.011081136314161,0.0131589399998168,1.21937834502199,TRUE,0.0121200381569889,""
k2016,ka_down_080,ka,down,0.8,0.440433361793372,AUClast,AUC0-inf,0.799297411482507,0.000502078630126623,10000,-0.226300917025225,-0.00227874418928034,0.000595519730007517,-0.00344594141217809,-0.00111154696638259,-0.227614982274693,FALSE,-0.00227874418928034,""
k2016,ka_down_080,ka,down,0.8,0.440433361793372,AUCinf_A,AUC0-inf,0.799297411482507,0.000502078630126623,10000,-0.147402974319791,0.0766191985161531,0.000601264311180716,0.0754407421210497,0.0777976549112566,7.96308730656805,TRUE,0.0766191985161531,""
k2016,ka_down_080,ka,down,0.8,0.440433361793372,AUCinf_B,AUC0-inf,0.799297411482507,0.000502078630126623,10000,-0.187357787913401,0.036664384922543,0.000543153533233147,0.0355998235593303,0.0377289462857556,3.7344813849618,TRUE,0.036664384922543,""
k2016,ka_down_080,ka,down,0.8,0.440433361793372,AUCinf_C,AUC0-inf,0.799297411482507,0.000502078630126623,10000,-0.230920426883948,-0.00689825404800348,0.000596796777630196,-0.00806795423824823,-0.00572855385775874,-0.687451570927544,FALSE,-0.00689825404800348,""
k2016,ka_down_080,ka,down,0.8,0.440433361793372,AUCinf_Ai,AUC0-inf,0.799297411482507,0.000502078630126623,10000,-0.152319553256875,0.0717026195790698,0.000579328793840499,0.0705671560079354,0.0728380831502042,7.43358101191654,TRUE,0.0717026195790698,""
k2016,ka_down_080,ka,down,0.8,0.440433361793372,AUCinf_Ci,AUC0-inf,0.799297411482507,0.000502078630126623,10000,-0.227037603138357,-0.00301543030241297,0.000593795681582478,-0.00417924845249004,-0.0018516121523359,-0.301088845880981,FALSE,-0.00301543030241297,""
k2016,ka_down_080,ka,down,0.8,0.440433361793372,AUCinf_true,AUC0-inf,0.799297411482507,0.000502078630126623,10000,-0.223872066876521,0.00015010595942333,0.000564842313148204,-0.000956964631291444,0.0012571765501381,0.0150117225886648,TRUE,0.00015010595942333,reference: individual model AUC0-inf of trial subjects (no NCA)
k2016,ke_up_080,ke,up,0.8,1.47110350143772,Cmax,Cmax,0.929468091140586,5.43072796350168e-05,10000,-0.0816281451222576,-0.00848534365436048,0.000429417940437662,-0.00932698735193366,-0.00764369995678729,-0.84494447358725,FALSE,-0.00848534365436048,""
k2016,ke_up_080,ke,up,0.8,1.47110350143772,AUClast,AUC0-inf,0.800334236753497,8.13305949793205e-05,10000,-0.228452947687226,-0.00572710506246493,0.000490094457702735,-0.00668767254858498,-0.00476653757634488,-0.571073645941089,FALSE,-0.00572710506246493,""
k2016,ke_up_080,ke,up,0.8,1.47110350143772,AUCinf_A,AUC0-inf,0.800334236753497,8.13305949793205e-05,10000,-0.21822553018041,0.0045003124443512,0.000509408574432713,0.00350188998504719,0.00549873490365521,0.45104540581693,TRUE,0.0045003124443512,""
