scenario,config,n_trials,pass_pct,lo,hi,mechanism,direction,target,multiplier,auc_ratio,cmax_ratio,model
ke_down_105,F3C,2000,96.5,95.6012715184728,97.2204430843706,ke,down,1.05,0.911245541985472,1.05008025202458,1.01506501555001,k2016
ke_down_105,G2,2000,95,93.9555891065604,95.8718766381268,ke,down,1.05,0.911245541985472,1.05008025202458,1.01506501555001,k2016
ke_down_105,AUClast_only,2000,96.55,95.6566923128875,97.2648305852278,ke,down,1.05,0.911245541985472,1.05008025202458,1.01506501555001,k2016
ke_down_105,AUCinf_only,2000,95,93.9555891065604,95.8718766381268,ke,down,1.05,0.911245541985472,1.05008025202458,1.01506501555001,k2016
ke_up_095,P2,2000,96.7,95.8232230539599,97.397724729971,ke,up,0.95,1.09822191087231,0.950136838158432,0.98405615669767,k2016
ke_up_095,F3A,2000,94.25,93.1423726189517,95.1879686966575,ke,up,0.95,1.09822191087231,0.950136838158432,0.98405615669767,k2016
ke_up_095,F3B,2000,96.3,95.3800119047189,97.0424695170371,ke,up,0.95,1.09822191087231,0.950136838158432,0.98405615669767,k2016
ke_up_095,F3C,2000,96.35,95.4352649450753,97.0870247719525,ke,up,0.95,1.09822191087231,0.950136838158432,0.98405615669767,k2016
ke_up_095,G2,2000,95.75,94.7747081447752,96.5498820289902,ke,up,0.95,1.09822191087231,0.950136838158432,0.98405615669767,k2016
ke_up_095,AUClast_only,2000,96.7,95.8232230539599,97.397724729971,ke,up,0.95,1.09822191087231,0.950136838158432,0.98405615669767,k2016
ke_up_095,AUCinf_only,2000,95.75,94.7747081447752,96.5498820289902,ke,up,0.95,1.09822191087231,0.950136838158432,0.98405615669767,k2016
F_down_095,P2,2000,93.85,92.710691976847,94.8211829765871,F,down,0.95,0.968465121072061,0.949944849803286,0.963734069940012,k2020
F_down_095,F3A,2000,91.85,90.5691487904041,92.970394352155,F,down,0.95,0.968465121072061,0.949944849803286,0.963734069940012,k2020
F_down_095,F3B,2000,93.65,92.4953273854049,94.6373143869417,F,down,0.95,0.968465121072061,0.949944849803286,0.963734069940012,k2020
F_down_095,F3C,2000,93.55,92.3877578994318,94.5452672823711,F,down,0.95,0.968465121072061,0.949944849803286,0.963734069940012,k2020
F_down_095,G2,2000,94.6,93.5212148700943,95.507784512418,F,down,0.95,0.968465121072061,0.949944849803286,0.963734069940012,k2020
F_down_095,AUClast_only,2000,93.85,92.710691976847,94.8211829765871,F,down,0.95,0.968465121072061,0.949944849803286,0.963734069940012,k2020
F_down_095,AUCinf_only,2000,94.7,93.6296616936357,95.5989542794203,F,down,0.95,0.968465121072061,0.949944849803286,0.963734069940012,k2020
F_up_105,P2,2000,94.55,93.4670267025967,95.4621643846437,F,up,1.05,1.03124131332539,1.05014776017276,1.03594311005938,k2020
F_up_105,F3A,2000,93.05,91.8509762864739,94.0839659426102,F,up,1.05,1.03124131332539,1.05014776017276,1.03594311005938,k2020
F_up_105,F3B,2000,94.4,93.3045995953012,95.3251666061236,F,up,1.05,1.03124131332539,1.05014776017276,1.03594311005938,k2020
F_up_105,F3C,2000,94.45,93.3587193553815,95.3708551413151,F,up,1.05,1.03124131332539,1.05014776017276,1.03594311005938,k2020
F_up_105,G2,2000,95.5,94.5009304018773,96.3246182955287,F,up,1.05,1.03124131332539,1.05014776017276,1.03594311005938,k2020
F_up_105,AUClast_only,2000,94.55,93.4670267025967,95.4621643846437,F,up,1.05,1.03124131332539,1.05014776017276,1.03594311005938,k2020
F_up_105,AUCinf_only,2000,95.65,94.665102369076,96.4598712141456,F,up,1.05,1.03124131332539,1.05014776017276,1.03594311005938,k2020
Km_up_105,P2,2000,93,91.7973915408943,94.0377423929179,Km,up,1.05,91.947868631888,1.05009893346047,1.00969253810531,k2020
Km_up_105,F3A,2000,92.35,91.1022188200366,93.4354072752413,Km,up,1.05,91.947868631888,1.05009893346047,1.00969253810531,k2020
Km_up_105,F3B,2000,93,91.7973915408943,94.0377423929179,Km,up,1.05,91.947868631888,1.05009893346047,1.00969253810531,k2020
Km_up_105,F3C,2000,93,91.7973915408943,94.0377423929179,Km,up,1.05,91.947868631888,1.05009893346047,1.00969253810531,k2020
Km_up_105,G2,2000,99.05,98.5209616845701,99.390975977139,Km,up,1.05,91.947868631888,1.05009893346047,1.00969253810531,k2020
Km_up_105,AUClast_only,2000,93,91.7973915408943,94.0377423929179,Km,up,1.05,91.947868631888,1.05009893346047,1.00969253810531,k2020
Km_up_105,AUCinf_only,2000,99.05,98.5209616845701,99.390975977139,Km,up,1.05,91.947868631888,1.05009893346047,1.00969253810531,k2020
S00,P2,10000,99,98.7853017744885,99.1770663851852,동일,-,1,1,1,1,k2020
S00,F3A,10000,98.3,98.0274568877193,98.5354488696734,동일,-,1,1,1,1,k2020
S00,F3B,10000,98.93,98.7087233947655,99.1136985246801,동일,-,1,1,1,1,k2020
S00,F3C,10000,98.97,98.7524544269637,99.1499367726123,동일,-,1,1,1,1,k2020
S00,G2,10000,98.88,98.6541590683063,99.0683012509764,동일,-,1,1,1,1,k2020
S00,AUClast_only,10000,99.01,98.7962606018844,99.1860998778219,동일,-,1,1,1,1,k2020
S00,AUCinf_only,10000,98.89,98.6650634087687,99.0773892305465,동일,-,1,1,1,1,k2020
V2_down_105,P2,2000,94.8,93.7382045845555,95.6900279790442,V2,down,1.05,0.76579862694241,1.05022165749121,1.05122064045794,k2020
V2_down_105,F3A,2000,91.15,89.8250549233239,92.317172085429,V2,down,1.05,0.76579862694241,1.05022165749121,1.05122064045794,k2020
V2_down_105,F3B,2000,94.4,93.3045995953012,95.3251666061236,V2,down,1.05,0.76579862694241,1.05022165749121,1.05122064045794,k2020
V2_down_105,F3C,2000,94.65,93.5754264314357,95.5533812463484,V2,down,1.05,0.76579862694241,1.05022165749121,1.05122064045794,k2020
V2_down_105,G2,2000,92.55,91.3158442696599,93.6210150067054,V2,down,1.05,0.76579862694241,1.05022165749121,1.05122064045794,k2020
V2_down_105,AUClast_only,2000,95,93.9555891065604,95.8718766381268,V2,down,1.05,0.76579862694241,1.05022165749121,1.05122064045794,k2020
V2_down_105,AUCinf_only,2000,92.95,91.7438231055577,93.9915025329827,V2,down,1.05,0.76579862694241,1.05022165749121,1.05122064045794,k2020
V2_up_095,P2,2000,94.55,93.4670267025967,95.4621643846437,V2,up,0.95,1.25968052954441,0.950063392008423,0.961206351944925,k2020
V2_up_095,F3A,2000,90.25,88.871748674962,91.4739290188971,V2,up,0.95,1.25968052954441,0.950063392008423,0.961206351944925,k2020
V2_up_095,F3B,2000,94.1,92.9803385148102,95.0505779149833,V2,up,0.95,1.25968052954441,0.950063392008423,0.961206351944925,k2020
V2_up_095,F3C,2000,94.3,93.1964264987039,95.233723112177,V2,up,0.95,1.25968052954441,0.950063392008423,0.961206351944925,k2020
V2_up_095,G2,2000,92,90.7289254801482,93.1100425482266,V2,up,0.95,1.25968052954441,0.950063392008423,0.961206351944925,k2020
V2_up_095,AUClast_only,2000,94.65,93.5754264314357,95.5533812463484,V2,up,0.95,1.25968052954441,0.950063392008423,0.961206351944925,k2020
V2_up_095,AUCinf_only,2000,92.25,90.9954932608256,93.3425162439085,V2,up,0.95,1.25968052954441,0.950063392008423,0.961206351944925,k2020
Vmax_down_105,P2,2000,94.45,93.3587193553815,95.3708551413151,Vmax,down,1.05,0.919478686318879,1.05001990379714,1.01217086359975,k2020
Vmax_down_105,F3A,2000,93.65,92.4953273854049,94.6373143869417,Vmax,down,1.05,0.919478686318879,1.05001990379714,1.01217086359975,k2020
Vmax_down_105,F3B,2000,94.4,93.3045995953012,95.3251666061236,Vmax,down,1.05,0.919478686318879,1.05001990379714,1.01217086359975,k2020
Vmax_down_105,F3C,2000,94.4,93.3045995953012,95.3251666061236,Vmax,down,1.05,0.919478686318879,1.05001990379714,1.01217086359975,k2020
Vmax_down_105,G2,2000,96.9,96.0459271791827,97.5742537858358,Vmax,down,1.05,0.919478686318879,1.05001990379714,1.01217086359975,k2020
Vmax_down_105,AUClast_only,2000,94.45,93.3587193553815,95.3708551413151,Vmax,down,1.05,0.919478686318879,1.05001990379714,1.01217086359975,k2020
Vmax_down_105,AUCinf_only,2000,96.9,96.0459271791827,97.5742537858358,Vmax,down,1.05,0.919478686318879,1.05001990379714,1.01217086359975,k2020
Vmax_up_095,P2,2000,92.7,91.4762201115213,93.7600640506597,Vmax,up,0.95,1.08757278975491,0.949782982372421,0.986870590587944,k2020
Vmax_up_095,F3A,2000,91.05,89.7189514623585,92.2236589558506,Vmax,up,0.95,1.08757278975491,0.949782982372421,0.986870590587944,k2020
Vmax_up_095,F3B,2000,92.6,91.3692877251472,93.66737984649,Vmax,up,0.95,1.08757278975491,0.949782982372421,0.986870590587944,k2020
Vmax_up_095,F3C,2000,92.55,91.3158442696599,93.6210150067054,Vmax,up,0.95,1.08757278975491,0.949782982372421,0.986870590587944,k2020
Vmax_up_095,G2,2000,95.75,94.7747081447752,96.5498820289902,Vmax,up,0.95,1.08757278975491,0.949782982372421,0.986870590587944,k2020
Vmax_up_095,AUClast_only,2000,92.7,91.4762201115213,93.7600640506597,Vmax,up,0.95,1.08757278975491,0.949782982372421,0.986870590587944,k2020
Vmax_up_095,AUCinf_only,2000,95.75,94.7747081447752,96.5498820289902,Vmax,up,0.95,1.08757278975491,0.949782982372421,0.986870590587944,k2020
ka_down_095,P2,2000,59.9,57.7350742165551,62.0269682472761,ka,down,0.95,0.73432010114147,0.949415940898201,0.867451625298813,k2020
ka_down_095,F3A,2000,59.1,56.9298421972407,61.2352675422405,ka,down,0.95,0.73432010114147,0.949415940898201,0.867451625298813,k2020
ka_down_095,F3B,2000,59.9,57.7350742165551,62.0269682472761,ka,down,0.95,0.73432010114147,0.949415940898201,0.867451625298813,k2020
ka_down_095,F3C,2000,59.8,57.6343878538784,61.928038019409,ka,down,0.95,0.73432010114147,0.949415940898201,0.867451625298813,k2020
ka_down_095,G2,2000,59.2,57.0304639156991,61.3342624143258,ka,down,0.95,0.73432010114147,0.949415940898201,0.867451625298813,k2020
ka_down_095,AUClast_only,2000,91.95,90.6756531506978,93.0635065824051,ka,down,0.95,0.73432010114147,0.949415940898201,0.867451625298813,k2020
ka_down_095,AUCinf_only,2000,96.15,95.2144892976008,96.9085672383395,ka,down,0.95,0.73432010114147,0.949415940898201,0.867451625298813,k2020
ka_up_105,P2,2000,33.95,31.9071898816018,36.0543473361264,ka,up,1.05,1.6350900158505,1.05040473267516,1.2139493066922,k2020
ka_up_105,F3A,2000,33.95,31.9071898816018,36.0543473361264,ka,up,1.05,1.6350900158505,1.05040473267516,1.2139493066922,k2020
ka_up_105,F3B,2000,33.95,31.9071898816018,36.0543473361264,ka,up,1.05,1.6350900158505,1.05040473267516,1.2139493066922,k2020
ka_up_105,F3C,2000,33.95,31.9071898816018,36.0543473361264,ka,up,1.05,1.6350900158505,1.05040473267516,1.2139493066922,k2020
ka_up_105,G2,2000,33.95,31.9071898816018,36.0543473361264,ka,up,1.05,1.6350900158505,1.05040473267516,1.2139493066922,k2020
ka_up_105,AUClast_only,2000,95.4,94.3916344427933,96.2342976640689,ka,up,1.05,1.6350900158505,1.05040473267516,1.2139493066922,k2020
ka_up_105,AUCinf_only,2000,97.6,96.8324527691542,98.1850443296705,ka,up,1.05,1.6350900158505,1.05040473267516,1.2139493066922,k2020
ke_down_105,P2,2000,94.4,93.3045995953012,95.3251666061236,ke,down,1.05,0.91398169946549,1.04999149514318,1.01419709970028,k2020
ke_down_105,F3A,2000,92.6,91.3692877251472,93.66737984649,ke,down,1.05,0.91398169946549,1.04999149514318,1.01419709970028,k2020
ke_down_105,F3B,2000,94.05,92.9263688183628,95.0047393161588,ke,down,1.05,0.91398169946549,1.04999149514318,1.01419709970028,k2020
ke_down_105,F3C,2000,94.15,93.0343288816862,95.0963958433791,ke,down,1.05,0.91398169946549,1.04999149514318,1.01419709970028,k2020
ke_down_105,G2,2000,95.3,94.2824557528353,96.1438597634831,ke,down,1.05,0.91398169946549,1.04999149514318,1.01419709970028,k2020
ke_down_105,AUClast_only,2000,94.4,93.3045995953012,95.3251666061236,ke,down,1.05,0.91398169946549,1.04999149514318,1.01419709970028,k2020
ke_down_105,AUCinf_only,2000,95.3,94.2824557528353,96.1438597634831,ke,down,1.05,0.91398169946549,1.04999149514318,1.01419709970028,k2020
ke_up_095,P2,2000,94.05,92.9263688183628,95.0047393161588,ke,up,0.95,1.09575520341669,0.949904907376391,0.984888718038693,k2020
ke_up_095,F3A,2000,92.1,90.8355110109589,93.2030736079596,ke,up,0.95,1.09575520341669,0.949904907376391,0.984888718038693,k2020
ke_up_095,F3B,2000,93.85,92.710691976847,94.8211829765871,ke,up,0.95,1.09575520341669,0.949904907376391,0.984888718038693,k2020
ke_up_095,F3C,2000,93.8,92.6568221042961,94.7752445538662,ke,up,0.95,1.09575520341669,0.949904907376391,0.984888718038693,k2020
ke_up_095,G2,2000,94.75,93.683920970839,95.6445032974889,ke,up,0.95,1.09575520341669,0.949904907376391,0.984888718038693,k2020
ke_up_095,AUClast_only,2000,94.05,92.9263688183628,95.0047393161588,ke,up,0.95,1.09575520341669,0.949904907376391,0.984888718038693,k2020
ke_up_095,AUCinf_only,2000,94.75,93.683920970839,95.6445032974889,ke,up,0.95,1.09575520341669,0.949904907376391,0.984888718038693,k2020
