model,config,ratio,pass_pct
k2016,F3A,0.570646084314297,2.22044604925031e-14
k2016,F3A,0.575138355633693,2.22044604925031e-14
k2016,F3A,0.579665991257096,2.22044604925031e-14
k2016,F3A,0.584229269581317,2.22044604925031e-14
k2016,F3A,0.588828471194774,2.22044604925031e-14
k2016,F3A,0.59346387889475,2.22044604925031e-14
k2016,F3A,0.598135777704779,2.22044604925031e-14
k2016,F3A,0.602844454892175,2.22044604925031e-14
k2016,F3A,0.60759019998569,2.22044604925031e-14
k2016,F3A,0.612373304793325,2.22044604925031e-14
k2016,F3A,0.617194063420262,2.22044604925031e-14
k2016,F3A,0.622052772286959,2.22044604925031e-14
k2016,F3A,0.626949730147369,2.22044604925031e-14
k2016,F3A,0.631885238107312,2.22044604925031e-14
k2016,F3A,0.63685959964299,2.22044604925031e-14
k2016,F3A,0.641873120619648,2.22044604925031e-14
k2016,F3A,0.64692610931038,2.22044604925031e-14
k2016,F3A,0.652018876415082,1.84049958450204e-11
k2016,F3A,0.657151735079561,8.29567390441573e-11
k2016,F3A,0.662325000914787,3.5961375353143e-10
k2016,F3A,0.667538992016299,1.49834569480502e-09
k2016,F3A,0.672794028983768,5.99654784183904e-09
k2016,F3A,0.678090434940703,2.3037034151122e-08
k2016,F3A,0.683428535554327,8.49005006086352e-08
k2016,F3A,0.688808659055597,2.99967908091351e-07
k2016,F3A,0.694231136259387,1.01541279626813e-06
k2016,F3A,0.699696300584832,3.29106300531751e-06
k2016,F3A,0.705204488075824,1.02065251964484e-05
k2016,F3A,0.710756037421683,3.02684497577389e-05
k2016,F3A,0.716351289977973,8.57818358465247e-05
k2016,F3A,0.721990589787497,0.000232175068582263
k2016,F3A,0.727674283601454,0.00059975349563324
k2016,F3A,0.733402720900751,0.00147770633103003
k2016,F3A,0.739176253917503,0.00347041517017629
k2016,F3A,0.744995237656683,0.00776372192484536
k2016,F3A,0.750860029917954,0.0165382507295251
k2016,F3A,0.756770991317669,0.0335940286561361
k2016,F3A,0.762728485311046,0.0652099067907544
k2016,F3A,0.768732878214514,0.121214733253356
k2016,F3A,0.774784539228238,0.216211112643244
k2016,F3A,0.780883840458821,0.370804714236158
k2016,F3A,0.787031156942185,0.612617476509053
k2016,F3A,0.793226866666629,0.976804457400678
k2016,F3A,0.799471350596071,1.50577899625434
k2016,F3A,0.805764992693478,2.24790388483662
k2016,F3A,0.812108179944468,3.25504288088198
k2016,F3A,0.818501302381108,4.5790817176974
k2016,F3A,0.824944753105899,6.26778341623969
k2016,F3A,0.831438928315944,8.36056831375386
k2016,F3A,0.83798422732731,10.8849173216237
k2016,F3A,0.844581052599583,13.8540195355432
k2016,F3A,0.851229809760611,17.266014159404
k2016,F3A,0.857930907631451,21.1047817741856
k2016,F3A,0.864684758251502,25.3418484096547
k2016,F3A,0.87149177690384,29.9387083522007
k2016,F3A,0.878352382140758,34.8398460193246
k2016,F3A,0.8852669958095,39.9326085171257
k2016,F3A,0.892236043078195,45.0754446565111
k2016,F3A,0.899259952462007,50.1256001350564
k2016,F3A,0.906339155849479,54.9542975571779
k2016,F3A,0.913474088529092,59.4580898574421
k2016,F3A,0.920665189216028,63.5645767795163
k2016,F3A,0.927912900079146,67.2325112397357
k2016,F3A,0.935217666768173,70.4476906275096
k2016,F3A,0.9425799384411,73.2165580037351
k2016,F3A,0.950000167791809,75.559246047528
k2016,F3A,0.957478811077901,77.5032333880106
k2016,F3A,0.965016328148753,79.0781766854821
k2016,F3A,0.972613182473793,80.3120168763988
k2016,F3A,0.980269841171001,81.2281810556562
k2016,F3A,0.987986775035626,81.843580476811
k2016,F3A,0.995764458569137,82.1707620080156
k2016,F3A,1.0036033700084,82.2267634293162
k2016,F3A,1.01150399135509,82.022187009559
k2016,F3A,1.01946680840531,81.5587988616402
k2016,F3A,1.02749231077948,80.8304012654842
k2016,F3A,1.03558099195243,79.8236293749451
k2016,F3A,1.04373334928377,78.5188109252303
k2016,F3A,1.05194988404843,76.89107871304
k2016,F3A,1.0602311014675,74.911972845493
k2016,F3A,1.06857751073933,72.5518023730432
k2016,F3A,1.07698962507078,69.7830285683546
k2016,F3A,1.08546796170881,66.5848437883647
k2016,F3A,1.09401304197229,62.9489006325795
k2016,F3A,1.10262539128404,58.8857597177343
k2016,F3A,1.11130553920314,54.4310918355097
k2016,F3A,1.12005401945749,49.6498413806988
k2016,F3A,1.12887136997664,44.6287796992686
k2016,F3A,1.13775813292487,39.4724116120647
k2016,F3A,1.14671485473448,34.3065679740594
