variant,schedule,n_points,n,tlast_median,tlast_p05,tlast_p95,quant_at_last_pct,lambda_ok_pct,adj_r2_ge080_pct,reliable_pct,flag_rsq_pct,flag_extrap_pct,flag_span_pct,reliable_no_span_pct,n_lambda_median,n_lambda_eq3_pct,extrap_median,extrap_p95,extrap_gt20_pct,extrap_true_median,extrap_true_p95,coverage_lt80_pct,err_tlast_median,err_tlast_sd,err_inf_sd,err_inf_median,AUClast_geo,AUClast_logcv,AUClast_mean,Cmax_geo,Cmax_logcv,Cmax_mean,AUCinf_geo,AUCinf_true_geo
resid12,D1,15,20000,35.63485367666,21.0626315925038,49.4611149698263,3.265,99.49,94.325,84.905,5.165,0.535,9.715,93.9,3,51.9298421951955,1.55465690929211,10.4058791239519,0.537742486682079,0.289965375157514,3.56377896759998,0,-0.0208167853031614,0.0460891392791029,0.0481404766881788,-0.0292815960226776,552.265827261384,38.7382558290909,591.217251075366,33.216245769739,31.6411570916179,34.7536699483421,569.110311365804,569.822270268252
resid12,D2,16,20000,35.63485367666,21.0626315925038,51.7577834252268,3.195,99.49,94.11,85.53,5.38,0.535,8.875,93.685,3,51.8042014272791,1.45882515039071,10.3875098537526,0.537742486682079,0.261441818165764,3.56377896759998,0,-0.020806201949972,0.0460878375614224,0.0481980921733722,-0.0290459728226335,552.380944560135,38.7714172978037,591.418519728552,33.216245769739,31.6411570916179,34.7536699483421,570.747152899222,569.822270268252
resid12,D3,17,20000,35.626022282755,21.066401329916,51.7577834252268,3.195,99.605,95.02,84.205,4.585,0.405,10.985,94.685,3,51.8698860498971,1.0255296428522,7.63963051115693,0.406606094071583,0.197321456051741,2.82321286410099,0,-0.0193074235383342,0.0456143411052799,0.0474231120644802,-0.0242918611286171,554.82491596921,38.6297800005647,593.687901451591,33.216245769739,31.6411570916179,34.7536699483421,565.796619237731,569.822270268252
resid12,D4,15,20000,35.1810554729309,21.0626315925038,49.4601257882081,3.26,99.49,93.645,84.525,5.845,0.535,9.415,93.22,3,51.6383556136295,1.63829172274517,10.4076989136968,0.537742486682079,0.307841328253655,3.56287424801448,0,-0.020997584144236,0.0460873931063084,0.0481493186240957,-0.0292868549894714,552.154071524401,38.742177406995,591.111664989645,33.216245769739,31.6411570916179,34.7536699483421,568.783829506063,569.822270268252
struct2020,B0,13,20000,35.3804970053025,21.9556309932377,55.1956999506569,5.525,99.385,92.43,83.915,6.955,0.8,9.22,91.835,3,55.0887960959904,2.94855018608216,11.9464935924674,0.804950445238215,0.640350151289987,3.53955961566025,0,-0.0227133254492883,0.0569591430605277,0.0582799077581742,-0.0332081628690386,587.032270666267,42.7759962247525,636.861231547743,32.9656334176945,33.9181242939504,34.7376122636475,627.175235632274,608.252761933008
struct2020,Bminus,12,20000,35.3804970053025,21.9556309932377,55.2361486409092,5.675,99.37,93.385,80.735,5.985,1.035,13.53,92.595,3,54.8505585186676,3.81419031413607,13.3113465317571,1.04156183958941,0.926076745943971,4.2624273149631,0,-0.0229818344325365,0.0570914451951164,0.0584464086751345,-0.0367423845665346,585.140065624442,42.3846168910415,633.85294548056,32.9656334176945,33.9181242939504,34.7376122636475,621.697738159547,608.252761933008
struct2020,D1,15,20000,37.8914454206824,21.9556309932377,55.185816595424,5.475,99.4,92.155,80.805,7.245,0.775,11.945,91.575,3,53.2293762575453,1.40588809325479,11.3416487199907,0.779678068410463,0.266251048271937,3.49909795560189,0,-0.0217569046082387,0.0566896561436078,0.0583229132387946,-0.029304918154516,589.363282583072,42.9222221631326,639.619453600877,32.9656334176945,33.9181242939504,34.7376122636475,612.440215828335,608.252761933008
struct2020,D2,16,20000,37.8914454206824,21.9556309932377,55.1753297328251,5.435,99.4,91.825,81.625,7.575,0.78,10.79,91.24,3,52.9024144869215,1.26303819268582,11.2978841296678,0.784708249496982,0.23195819502918,3.49909795560189,0,-0.0217070461908396,0.0566902552255694,0.0583776496372622,-0.0290675628418425,589.55124265318,42.965774840009,639.936286131193,32.9656334176945,33.9181242939504,34.7376122636475,614.31026594183,608.252761933008
struct2020,D3,17,20000,37.8895621190313,21.9449444805039,55.1753297328251,5.435,99.665,93.495,81.98,6.17,0.55,11.855,93.07,3,51.8737771534641,0.973682441236123,6.81314540025586,0.551848693121959,0.189161828738438,1.871028244394,0,-0.019744807210786,0.0558138183446338,0.0570272138660869,-0.0243687171921744,592.212781974583,42.7270400442332,642.233429898392,32.9657148523487,33.9181379401341,34.7376958106679,607.699794689345,608.252761933008
struct2020,D4,15,20000,38.6835144812552,21.9556309932377,55.185816595424,5.475,99.4,91.405,80.415,7.995,0.78,11.585,90.82,3,53.013078470825,1.48393614488411,11.3416487199907,0.784708249496982,0.277773674246162,3.50026759649121,0,-0.0216816764786533,0.0567252201247604,0.0583395792043019,-0.0294824483736435,589.236390839903,42.9276319830074,639.503352495909,32.9656334176945,33.9181242939504,34.7376122636475,612.109093314423,608.252761933008
vmax080_both,B0,13,20000,41.3051266018301,27.3544673462166,56.0713944628602,11.42,99.73,90.87,84.825,8.86,0.43,6.9,90.63,4,46.5306327083124,2.275175835551,9.59614682985726,0.431164143186604,0.53686948427521,2.67398795284415,0.005,-0.0231455005047397,0.0914526094089332,0.091798938805726,-0.0315725679574921,625.868645315226,38.0416016742612,668.787935712591,37.6626020355501,32.2080263722157,39.4997069230423,650.76483588174,648.706299049429
vmax080_both,Bminus,12,20000,41.1999092502519,27.3544673462166,56.086318414961,11.555,99.71,91.16,81.45,8.55,1.055,11.255,90.525,4,46.9561729014141,3.17591380296576,12.5546238499111,1.05806839835523,0.861734223254396,3.92201888811006,0.005,-0.0234587173408362,0.0918096392309559,0.0923074703670428,-0.0365416287114363,622.945143181689,37.6346933276257,664.793839307911,37.6626020355501,32.2080263722157,39.4997069230423,648.143207657968,648.706299049429
