variant,schedule,lambda_fail,rsq,extrap,span,n,pct
weight_alt,B0,FALSE,TRUE,FALSE,FALSE,1897,9.485
weight_alt,B0,FALSE,FALSE,FALSE,TRUE,1069,5.345
weight_alt,B0,FALSE,TRUE,FALSE,TRUE,259,1.295
weight_alt,B0,TRUE,FALSE,FALSE,FALSE,241,1.205
weight_alt,B0,FALSE,FALSE,TRUE,TRUE,87,0.435
weight_alt,B0,FALSE,TRUE,TRUE,TRUE,81,0.405
weight_alt,B0,FALSE,TRUE,TRUE,FALSE,1,0.005
weight_alt,Bminus,FALSE,FALSE,FALSE,FALSE,15907,79.535
weight_alt,Bminus,FALSE,TRUE,FALSE,FALSE,1759,8.795
weight_alt,Bminus,FALSE,FALSE,FALSE,TRUE,1514,7.57
weight_alt,Bminus,FALSE,TRUE,FALSE,TRUE,329,1.645
weight_alt,Bminus,TRUE,FALSE,FALSE,FALSE,245,1.225
weight_alt,Bminus,FALSE,FALSE,TRUE,TRUE,134,0.67
weight_alt,Bminus,FALSE,TRUE,TRUE,TRUE,109,0.545
weight_alt,Bminus,FALSE,TRUE,TRUE,FALSE,2,0.01
weight_alt,Bminus,FALSE,FALSE,TRUE,FALSE,1,0.005
weight_alt,D1,FALSE,FALSE,FALSE,FALSE,16198,80.99
weight_alt,D1,FALSE,TRUE,FALSE,FALSE,1888,9.44
weight_alt,D1,FALSE,FALSE,FALSE,TRUE,1339,6.695
weight_alt,D1,TRUE,FALSE,FALSE,FALSE,228,1.14
weight_alt,D1,FALSE,TRUE,FALSE,TRUE,201,1.005
weight_alt,D1,FALSE,FALSE,TRUE,TRUE,78,0.39
weight_alt,D1,FALSE,TRUE,TRUE,TRUE,67,0.335
weight_alt,D1,FALSE,TRUE,TRUE,FALSE,1,0.005
weight_alt,D2,FALSE,FALSE,FALSE,FALSE,16259,81.295
weight_alt,D2,FALSE,TRUE,FALSE,FALSE,1921,9.605
weight_alt,D2,FALSE,FALSE,FALSE,TRUE,1245,6.225
weight_alt,D2,TRUE,FALSE,FALSE,FALSE,228,1.14
weight_alt,D2,FALSE,TRUE,FALSE,TRUE,202,1.01
weight_alt,D2,FALSE,FALSE,TRUE,TRUE,77,0.385
weight_alt,D2,FALSE,TRUE,TRUE,TRUE,67,0.335
weight_alt,D2,FALSE,TRUE,TRUE,FALSE,1,0.005
weight_alt,D3,FALSE,FALSE,FALSE,FALSE,16651,83.255
weight_alt,D3,FALSE,TRUE,FALSE,FALSE,1604,8.02
weight_alt,D3,FALSE,FALSE,FALSE,TRUE,1403,7.015
weight_alt,D3,TRUE,FALSE,FALSE,FALSE,143,0.715
weight_alt,D3,FALSE,TRUE,FALSE,TRUE,100,0.5
weight_alt,D3,FALSE,FALSE,TRUE,TRUE,54,0.27
weight_alt,D3,FALSE,TRUE,TRUE,TRUE,44,0.22
weight_alt,D3,FALSE,TRUE,TRUE,FALSE,1,0.005
weight_alt,D4,FALSE,FALSE,FALSE,FALSE,16194,80.97
weight_alt,D4,FALSE,TRUE,FALSE,FALSE,1976,9.88
weight_alt,D4,FALSE,FALSE,FALSE,TRUE,1255,6.275
weight_alt,D4,TRUE,FALSE,FALSE,FALSE,229,1.145
weight_alt,D4,FALSE,TRUE,FALSE,TRUE,205,1.025
weight_alt,D4,FALSE,FALSE,TRUE,TRUE,73,0.365
weight_alt,D4,FALSE,TRUE,TRUE,TRUE,67,0.335
weight_alt,D4,FALSE,TRUE,TRUE,FALSE,1,0.005
ada10,B0,FALSE,FALSE,FALSE,FALSE,16128,80.64
ada10,B0,FALSE,TRUE,FALSE,FALSE,1939,9.695
ada10,B0,FALSE,FALSE,FALSE,TRUE,1111,5.555
ada10,B0,TRUE,FALSE,FALSE,FALSE,342,1.71
ada10,B0,FALSE,TRUE,FALSE,TRUE,262,1.31
ada10,B0,FALSE,FALSE,TRUE,TRUE,117,0.585
ada10,B0,FALSE,TRUE,TRUE,TRUE,101,0.505
ada10,Bminus,FALSE,FALSE,FALSE,FALSE,15765,78.825
ada10,Bminus,FALSE,TRUE,FALSE,FALSE,1844,9.22
ada10,Bminus,FALSE,FALSE,FALSE,TRUE,1442,7.21
ada10,Bminus,TRUE,FALSE,FALSE,FALSE,345,1.725
ada10,Bminus,FALSE,TRUE,FALSE,TRUE,322,1.61
ada10,Bminus,FALSE,FALSE,TRUE,TRUE,153,0.765
ada10,Bminus,FALSE,TRUE,TRUE,TRUE,128,0.64
ada10,Bminus,FALSE,TRUE,TRUE,FALSE,1,0.005
ada10,D1,FALSE,FALSE,FALSE,FALSE,16035,80.175
ada10,D1,FALSE,TRUE,FALSE,FALSE,1969,9.845
ada10,D1,FALSE,FALSE,FALSE,TRUE,1255,6.275
ada10,D1,TRUE,FALSE,FALSE,FALSE,334,1.67
ada10,D1,FALSE,TRUE,FALSE,TRUE,202,1.01
ada10,D1,FALSE,FALSE,TRUE,TRUE,111,0.555
ada10,D1,FALSE,TRUE,TRUE,TRUE,94,0.47
ada10,D2,FALSE,FALSE,FALSE,FALSE,16102,80.51
ada10,D2,FALSE,TRUE,FALSE,FALSE,1994,9.97
ada10,D2,FALSE,FALSE,FALSE,TRUE,1164,5.82
ada10,D2,TRUE,FALSE,FALSE,FALSE,334,1.67
ada10,D2,FALSE,TRUE,FALSE,TRUE,204,1.02
ada10,D2,FALSE,FALSE,TRUE,TRUE,107,0.535
ada10,D2,FALSE,TRUE,TRUE,TRUE,95,0.475
ada10,D3,FALSE,FALSE,FALSE,FALSE,16447,82.235
ada10,D3,FALSE,TRUE,FALSE,FALSE,1736,8.68
ada10,D3,FALSE,FALSE,FALSE,TRUE,1337,6.685
ada10,D3,TRUE,FALSE,FALSE,FALSE,210,1.05
ada10,D3,FALSE,TRUE,FALSE,TRUE,110,0.55
ada10,D3,FALSE,FALSE,TRUE,TRUE,83,0.415
ada10,D3,FALSE,TRUE,TRUE,TRUE,77,0.385
