variant,scenario,analysis_model,decision,n_trials,pass_pct,lo,hi
struct2020,F090,M1,AUCinf_Ci,2000,23.45,21.6451289375717,25.3566662730628
struct2020,KE120,M0,AUCinf_Ci,2000,61.35,59.1960752882515,63.4604077384641
struct2020,KE120,M1,AUCinf_Ci,2000,68.75,66.6842897895218,70.7438209374312
struct2020,KM10,M0,AUCinf_Ci,2000,97.05,96.2134910896086,97.7061147612255
struct2020,KM10,M1,AUCinf_Ci,2000,98.05,97.3454973911407,98.5702743651309
struct2020,S00,M0,AUCinf_Ci,2000,96.8,95.9344768948039,97.4860874796708
struct2020,S00,M1,AUCinf_Ci,2000,97.95,97.2308710521027,98.4852841136252
struct2020,VM125,M0,AUCinf_Ci,2000,29.8,27.8357551076473,31.8416936025153
struct2020,VM125,M1,AUCinf_Ci,2000,37.6,35.5028239347997,39.7447188377754
base,F090,M0,AUCinf_C,2000,16.3,14.7460803147356,17.9831286720209
base,F090,M1,AUCinf_C,2000,22.1,20.3360065572627,23.9709646810312
base,KE120,M0,AUCinf_C,2000,66,63.8950093032789,68.043645183721
base,KE120,M1,AUCinf_C,2000,73.2,71.2157397871084,75.0953092190415
base,KM10,M0,AUCinf_C,2000,97.65,96.8891278302657,98.2281775638309
base,KM10,M1,AUCinf_C,2000,98.65,98.0429206993,99.0705506002341
base,S00,M0,AUCinf_C,2000,97.5,96.7193228586802,98.0985576496007
base,S00,M1,AUCinf_C,2000,98.35,97.6919038886282,98.8227176392747
base,VM125,M0,AUCinf_C,2000,26.15,24.2710790033976,28.1203641519182
base,VM125,M1,AUCinf_C,2000,34.65,32.5957317222407,36.7631216292938
k2016_bmi_vc0817,F090,M0,AUCinf_C,2000,12.8,11.4067947145746,14.3358336031506
k2016_bmi_vc0817,F090,M1,AUCinf_C,2000,20.9,19.1746753322312,22.7368968195377
k2016_bmi_vc0817,KE120,M0,AUCinf_C,2000,56.6,54.4172618422555,58.757433133632
k2016_bmi_vc0817,KE120,M1,AUCinf_C,2000,69.1,67.0398723789636,71.0868964148926
k2016_bmi_vc0817,KM10,M0,AUCinf_C,2000,94.55,93.4670267025967,95.4621643846437
k2016_bmi_vc0817,KM10,M1,AUCinf_C,2000,97.6,96.8324527691542,98.1850443296705
k2016_bmi_vc0817,S00,M0,AUCinf_C,2000,94.7,93.6296616936357,95.5989542794203
k2016_bmi_vc0817,S00,M1,AUCinf_C,2000,97.4,96.6064726855337,98.0117912322035
k2016_bmi_vc0817,VM125,M0,AUCinf_C,2000,20.7,18.9813434956355,22.5309954750459
k2016_bmi_vc0817,VM125,M1,AUCinf_C,2000,30.7,28.7171212468536,32.7568767782027
struct2020,F090,M0,AUCinf_C,2000,16.8,15.2254692951057,18.5018226443695
struct2020,F090,M1,AUCinf_C,2000,22.4,20.626688232702,24.2791327772231
struct2020,KE120,M0,AUCinf_C,2000,60.4,58.2386454521585,62.5214799643914
struct2020,KE120,M1,AUCinf_C,2000,67.9,65.821288949489,69.9100807578422
struct2020,KM10,M0,AUCinf_C,2000,96.55,95.6566923128875,97.2648305852278
struct2020,KM10,M1,AUCinf_C,2000,97.7,96.9458792871765,98.271234402192
struct2020,S00,M0,AUCinf_C,2000,96.45,95.545893930598,97.1760123769736
struct2020,S00,M1,AUCinf_C,2000,97.65,96.8891278302657,98.2281775638309
struct2020,VM125,M0,AUCinf_C,2000,26.65,24.7584251127388,28.6311009952957
struct2020,VM125,M1,AUCinf_C,2000,33.95,31.9071898816018,36.0543473361264
base,F090,M0,AUCinf_Ciii,2000,16.75,15.1775066195293,18.449977024674
