set,n,fail_pct,lz_fail_pct,est_fail_pct,fail_per_arm,wt_fail_mean,wt_retained_mean,wt_diff,wt_diff_lo,wt_diff_hi,auclast_gm_ratio_fail_to_retained,extrap_true_median_fail,extrap_true_median_retained,auclast_over_true_fail_median,auclast_over_true_fail_p05,band,variant,distribution
ii,2493,25.591656638588,3.32932210188528,22.2623345367028,29.942238267148,94.4327535778405,94.6215363350201,-0.188782757179609,-0.452272049925178,0.074706535565959,0.772448185765268,2.11997016241199,0.726652630978231,0.927562757163358,0.767485103756494,above 90-100,base,sens_nct03389893
ii,2584,15.5959752321981,0.541795665634675,15.0541795665635,18.2472910216718,53.668445859763,54.0123659725632,-0.343920112800198,-0.865773938555032,0.177933712954635,0.951927414627901,1.058413035942,0.480814572756916,0.93366594488213,0.782649205826003,below 60,base,sens_nct03389893
ii,2884,29.7156726768377,5.13176144244105,24.5839112343967,34.7673370319001,114.933000112902,112.812764994547,2.12023511835467,1.06408411618883,3.17638612052052,0.755243438476323,2.67345857822792,0.759573518751211,0.921305389527535,0.756315188902652,above 100,base,sens_nct03389893
iii,12039,39.1394634105823,1.27917601129662,37.8602873992857,45.7931721903813,75.1628554962115,74.7623608945491,0.400494601662402,0.0986478781173756,0.702341325207428,0.919399640683025,0.359821934743376,0.825615112645928,0.954008921082393,0.798466713109432,60-90,base,sens_nct03389893
iii,2493,42.0778178900923,3.32932210188528,38.748495788207,49.2310469314079,94.556024361825,94.5857182330818,-0.0296938712568107,-0.258966311719858,0.199578569206237,0.866377576100415,0.849423657363002,0.955644862748239,0.942411380851439,0.787259399230964,above 90-100,base,sens_nct03389893
iii,2584,34.9458204334365,0.541795665634675,34.4040247678019,40.8866099071207,53.8576697275738,54.013014933757,-0.155345206183199,-0.528301921930515,0.217611509564117,0.929400943302508,0.27082877967195,0.648215051104784,0.954970628649696,0.808450794581381,below 60,base,sens_nct03389893
iii,2884,45.492371705964,5.13176144244105,40.3606102635229,53.2260748959778,114.062274478932,112.925796198692,1.13647828023984,0.209753509986924,2.06320305049276,0.853296933685441,1.10921152959694,1.04132791892613,0.939322199056767,0.77622576126787,above 100,base,sens_nct03389893
iv,12039,67.0238391893015,1.27917601129662,65.7446631780048,78.4178918514827,75.083387483466,74.5852241230283,0.498163360437616,0.187003835242353,0.809322885632879,0.91897114571703,0.938801915406795,0.391600773707013,0.955173904758505,0.804125607769944,60-90,base,sens_nct03389893
iv,2493,69.7152025671881,3.32932210188528,66.3858804653029,81.5667870036101,94.555806912486,94.6133169142039,-0.0575100017179722,-0.300494924117305,0.18547492068136,0.87154028478417,1.31216169956703,0.398562708935679,0.949418259315138,0.797950163445303,above 90-100,base,sens_nct03389893
iv,2584,63.312693498452,0.541795665634675,62.7708978328174,74.0758513931889,53.9322904785616,54.0043530007573,-0.0720625221956155,-0.435812411622845,0.291687367231614,0.965998735434978,0.695321034361396,0.329301400189586,0.958518453584256,0.816334208936138,below 60,base,sens_nct03389893
