band,set,n,n_fail,fail_pct,fail_lo,fail_hi,lz_fail_pct,population,variant,distribution
60-90,i,12071,1003,8.30917073978958,7.82993361257488,8.81493469211413,0.57990224505012,adult atopic dermatitis,struct2020,sens_75_18
above 90-100,i,1938,214,11.0423116615067,9.72325059857086,12.5155092579087,1.08359133126935,adult atopic dermatitis,struct2020,sens_75_18
above 100,i,1929,254,13.1674442716433,11.7314245262091,14.7498710029643,2.07361327112494,adult atopic dermatitis,struct2020,sens_75_18
above 90,i,3867,468,12.1024049650892,11.1118553900996,13.1681743868634,1.57745021980864,adult atopic dermatitis,struct2020,sens_75_18
all,ii,20000,3339,16.695,16.1845590061987,17.2182325154984,0.69,adult atopic dermatitis,struct2020,sens_75_18
below 60,ii,4062,573,14.1063515509601,13.0697837540204,15.2107449007838,0.17232890201871,adult atopic dermatitis,struct2020,sens_75_18
60-90,ii,12071,1929,15.980449010024,15.3376124013115,16.6449314026041,0.57990224505012,adult atopic dermatitis,struct2020,sens_75_18
above 90-100,ii,1938,394,20.3302373581011,18.5979443105398,22.1799191563155,1.08359133126935,adult atopic dermatitis,struct2020,sens_75_18
above 100,ii,1929,443,22.9652669777087,21.1431081861312,24.8948870544936,2.07361327112494,adult atopic dermatitis,struct2020,sens_75_18
above 90,ii,3867,837,21.644685802948,20.3751763618846,22.970475395495,1.57745021980864,adult atopic dermatitis,struct2020,sens_75_18
all,iii,20000,6629,33.145,32.4958987442201,33.8005747912312,0.69,adult atopic dermatitis,struct2020,sens_75_18
below 60,iii,4062,1155,28.4342688330872,27.0679098318949,29.8413789895101,0.17232890201871,adult atopic dermatitis,struct2020,sens_75_18
60-90,iii,12071,3981,32.979869107779,32.1467057297316,33.8238619666387,0.57990224505012,adult atopic dermatitis,struct2020,sens_75_18
above 90-100,iii,1938,726,37.4613003095975,35.3331454661557,39.6390646598371,1.08359133126935,adult atopic dermatitis,struct2020,sens_75_18
above 100,iii,1929,767,39.7615344738206,37.5999703360406,41.963795838501,2.07361327112494,adult atopic dermatitis,struct2020,sens_75_18
above 90,iii,3867,1493,38.6087406258081,37.0862999733898,40.1537908602862,1.57745021980864,adult atopic dermatitis,struct2020,sens_75_18
all,iv,20000,14531,72.655,72.032954717635,73.2683441286629,0.69,adult atopic dermatitis,struct2020,sens_75_18
below 60,iv,4062,2798,68.8823239783358,67.4412885251629,70.28767891089,0.17232890201871,adult atopic dermatitis,struct2020,sens_75_18
60-90,iv,12071,8726,72.2889570043907,71.4835278361704,73.0802042703839,0.57990224505012,adult atopic dermatitis,struct2020,sens_75_18
above 90-100,iv,1938,1497,77.2445820433437,75.3251693915405,79.0562011988949,1.08359133126935,adult atopic dermatitis,struct2020,sens_75_18
above 100,iv,1929,1510,78.2789009849663,76.3835519793222,80.0618432196024,2.07361327112494,adult atopic dermatitis,struct2020,sens_75_18
above 90,iv,3867,3007,77.7605378846651,76.4226505473985,79.0433255934614,1.57745021980864,adult atopic dermatitis,struct2020,sens_75_18
all,i,20000,1833,9.165,8.77292674722965,9.57275683747241,1,adult atopic dermatitis,struct2020,sens_nct03389893
below 60,i,2584,163,6.30804953560372,5.43401287692471,7.31180111784012,0.193498452012384,adult atopic dermatitis,struct2020,sens_nct03389893
60-90,i,12039,977,8.11529196777141,7.64076439457544,8.61654054060401,0.614668992441233,adult atopic dermatitis,struct2020,sens_nct03389893
above 90-100,i,2493,275,11.03088648215,9.86059036233028,12.3210926942417,1.44404332129964,adult atopic dermatitis,struct2020,sens_nct03389893
above 100,i,2884,418,14.493758668516,13.256163234539,15.8258161883778,2.94729542302358,adult atopic dermatitis,struct2020,sens_nct03389893
above 90,i,5377,693,12.8882276362284,12.0190520886874,13.8103924221216,2.25032546029384,adult atopic dermatitis,struct2020,sens_nct03389893
all,ii,20000,3502,17.51,16.9895364999106,18.0429420030151,1,adult atopic dermatitis,struct2020,sens_nct03389893
below 60,ii,2584,378,14.6284829721362,13.3184216589696,16.043557075499,0.193498452012384,adult atopic dermatitis,struct2020,sens_nct03389893
60-90,ii,12039,1900,15.7820416978154,15.1417353859434,16.4441778873281,0.614668992441233,adult atopic dermatitis,struct2020,sens_nct03389893
above 90-100,ii,2493,510,20.4572803850782,18.9198238807552,22.0856414524051,1.44404332129964,adult atopic dermatitis,struct2020,sens_nct03389893
above 100,ii,2884,714,24.7572815533981,23.2163553319974,26.3653644139825,2.94729542302358,adult atopic dermatitis,struct2020,sens_nct03389893
above 90,ii,5377,1224,22.7636228380138,21.662546196486,23.9035883492819,2.25032546029384,adult atopic dermatitis,struct2020,sens_nct03389893
all,iii,20000,6931,34.655,33.9984922603854,35.3174013261764,1,adult atopic dermatitis,struct2020,sens_nct03389893
below 60,iii,2584,775,29.9922600619195,28.2562543278737,31.7876658096758,0.193498452012384,adult atopic dermatitis,struct2020,sens_nct03389893
60-90,iii,12039,4113,34.1639671069026,33.3219719282957,35.0160651285054,0.614668992441233,adult atopic dermatitis,struct2020,sens_nct03389893
