variant,scenario,analysis_model,config,n_trials,agree_pct,p2_only_pct,g2_only_pct
base,F090,M1,C_iii,2000,96.75,0.9,2.35
base,KE120,M0,C_iii,2000,97.2,0.8,2
base,KE120,M1,C_iii,2000,97.8,0.9,1.3
base,KM10,M0,C_iii,2000,99.3,0.05,0.65
base,KM10,M1,C_iii,2000,99.35,0.2,0.45
base,S00,M0,C_iii,2000,99.35,0.2,0.45
base,S00,M1,C_iii,2000,99.85,0.1,0.05
base,VM125,M0,C_iii,2000,96.6,0.85,2.55
base,VM125,M1,C_iii,2000,96.5,0.85,2.65
k2016_bmi_vc0817,F090,M0,C_iii,2000,98.75,0.35,0.9
k2016_bmi_vc0817,F090,M1,C_iii,2000,97.8,0.5,1.7
k2016_bmi_vc0817,KE120,M0,C_iii,2000,97.2,1,1.8
k2016_bmi_vc0817,KE120,M1,C_iii,2000,97.85,0.7,1.45
k2016_bmi_vc0817,KM10,M0,C_iii,2000,98.5,0.3,1.2
k2016_bmi_vc0817,KM10,M1,C_iii,2000,99.1,0.25,0.65
k2016_bmi_vc0817,S00,M0,C_iii,2000,99.25,0.25,0.5
k2016_bmi_vc0817,S00,M1,C_iii,2000,99.65,0.2,0.15
k2016_bmi_vc0817,VM125,M0,C_iii,2000,98.05,0.6,1.35
k2016_bmi_vc0817,VM125,M1,C_iii,2000,96.85,0.85,2.3
struct2020,F090,M0,C_iii,2000,97.95,0.35,1.7
struct2020,F090,M1,C_iii,2000,97.75,0.55,1.7
struct2020,KE120,M0,C_iii,2000,96.55,0.85,2.6
struct2020,KE120,M1,C_iii,2000,97.2,0.65,2.15
struct2020,KM10,M0,C_iii,2000,99,0.2,0.8
struct2020,KM10,M1,C_iii,2000,99.45,0.1,0.45
struct2020,S00,M0,C_iii,2000,99.4,0.05,0.55
struct2020,S00,M1,C_iii,2000,99.45,0.1,0.45
struct2020,VM125,M0,C_iii,2000,96.55,0.25,3.2
struct2020,VM125,M1,C_iii,2000,95.15,0.45,4.4
base,F090,M0,C_iv,2000,99.3,0.4,0.3
base,F090,M1,C_iv,2000,99.05,0.6,0.35
base,KE120,M0,C_iv,2000,99.25,0.25,0.5
base,KE120,M1,C_iv,2000,99.2,0.45,0.35
base,KM10,M0,C_iv,2000,99.75,0,0.25
base,KM10,M1,C_iv,2000,99.8,0.1,0.1
base,S00,M0,C_iv,2000,99.9,0.05,0.05
base,S00,M1,C_iv,2000,99.8,0.15,0.05
base,VM125,M0,C_iv,2000,99.1,0.8,0.1
base,VM125,M1,C_iv,2000,98.55,1.3,0.15
k2016_bmi_vc0817,F090,M0,C_iv,2000,99.85,0.15,0
k2016_bmi_vc0817,F090,M1,C_iv,2000,99.35,0.5,0.15
k2016_bmi_vc0817,KE120,M0,C_iv,2000,98.65,0.65,0.7
k2016_bmi_vc0817,KE120,M1,C_iv,2000,99.25,0.5,0.25
k2016_bmi_vc0817,KM10,M0,C_iv,2000,99.8,0.05,0.15
k2016_bmi_vc0817,KM10,M1,C_iv,2000,99.75,0.05,0.2
k2016_bmi_vc0817,S00,M0,C_iv,2000,99.55,0.35,0.1
k2016_bmi_vc0817,S00,M1,C_iv,2000,99.8,0.2,0
k2016_bmi_vc0817,VM125,M0,C_iv,2000,99.05,0.8,0.15
k2016_bmi_vc0817,VM125,M1,C_iv,2000,98.6,0.9,0.5
struct2020,F090,M0,C_iv,2000,99.55,0.25,0.2
struct2020,F090,M1,C_iv,2000,99.15,0.65,0.2
struct2020,KE120,M0,C_iv,2000,99.25,0.25,0.5
struct2020,KE120,M1,C_iv,2000,98.9,0.4,0.7
struct2020,KM10,M0,C_iv,2000,99.85,0.05,0.1
struct2020,KM10,M1,C_iv,2000,99.8,0.1,0.1
struct2020,S00,M0,C_iv,2000,99.8,0.1,0.1
struct2020,S00,M1,C_iv,2000,99.9,0,0.1
struct2020,VM125,M0,C_iv,2000,99.1,0.85,0.05
struct2020,VM125,M1,C_iv,2000,98.85,0.85,0.3
