variant,scenario,kind,true_ratio,analysis_model,endpoint,n,gmr,mean_log,sd_log,bias_pct,bias_lo,bias_hi,not_estimable_pct
struct2020,VM125,AUC,0.864591263374604,M0,AUClast,2000,0.85756598813411,-0.1536571488106,0.0600289299146286,-0.812554502699192,-1.07316218668414,-0.551260287471034,0
struct2020,VM125,AUC,0.864591263374604,M1,AUClast,2000,0.857562134249451,-0.153661642801,0.0598786375733889,-0.813000249125473,-1.07295514626036,-0.552362257204486,0
struct2020,VM125,Cmax,0.961634128342415,M0,Cmax,2000,0.959096152191821,-0.04176394615095,0.0473267517410326,-0.263923261019083,-0.470580073266835,-0.0568373591807392,0
struct2020,VM125,Cmax,0.961634128342415,M1,Cmax,2000,0.959097673676132,-0.041762359779135,0.0472195770741548,-0.263765042392505,-0.469954677326889,-0.0571482583955785,0
k2016_bmi_vc0817,F090,AUC,0.841851262476516,M0,AUCinf_A,2000,0.861499543142008,-0.149080753319565,0.0624101327022327,2.33393730475526,2.05441140888141,2.61422881894373,0
k2016_bmi_vc0817,F090,AUC,0.841851262476516,M1,AUCinf_A,2000,0.857452909012729,-0.153789018053245,0.0594961750258848,1.85325451556813,1.58801456749473,2.11918698854572,0
k2016_bmi_vc0817,F090,AUC,0.841851262476516,M0,AUCinf_Ai,2000,0.856749416579232,-0.154609799197325,0.0598789167232792,1.7696895837501,1.50296458525585,2.03711547039189,0
k2016_bmi_vc0817,F090,AUC,0.841851262476516,M1,AUCinf_Ai,2000,0.854258721239169,-0.15752117880365,0.0577969215986736,1.4738302733138,1.21711606657859,1.73119557727943,0
k2016_bmi_vc0817,F090,AUC,0.841851262476516,M0,AUCinf_Aiii,2000,0.856250350305242,-0.155192480290175,0.0758633309943921,1.71040758273227,1.37279657955736,2.0491429623998,0
k2016_bmi_vc0817,F090,AUC,0.841851262476516,M1,AUCinf_Aiii,2000,0.854918432804456,-0.156749214824975,0.0688998756925403,1.55219465841261,1.24600305481326,1.85931225706646,0
k2016_bmi_vc0817,F090,AUC,0.841851262476516,M0,AUCinf_Aiv,2000,0.866798812495932,-0.142948379307106,0.104958430170938,2.96341540737575,2.49087076405992,3.43813876610557,0
k2016_bmi_vc0817,F090,AUC,0.841851262476516,M1,AUCinf_Aiv,2000,0.862379633943631,-0.14805969466327,0.0919451786567917,2.43847962010841,2.02651642325389,2.85210624409453,0
k2016_bmi_vc0817,F090,AUC,0.841851262476516,M0,AUCinf_B,2000,0.8511423787617,-0.16117585681005,0.055782254886754,1.10365294907941,0.856780161628179,1.3511300208741,0
k2016_bmi_vc0817,F090,AUC,0.841851262476516,M1,AUCinf_B,2000,0.849609675715021,-0.16297824000585,0.05516927118987,0.921589547265378,0.67786601259836,1.16590309405424,0
k2016_bmi_vc0817,F090,AUC,0.841851262476516,M0,AUCinf_C,2000,0.8394198108477,-0.17504432716065,0.0586954136872197,-0.288821997090449,-0.544993378387892,-0.0319907819764431,0
k2016_bmi_vc0817,F090,AUC,0.841851262476516,M1,AUCinf_C,2000,0.839416341377122,-0.1750484603461,0.0584879352335206,-0.289234121028881,-0.54450008443856,-0.0333129830724865,0
k2016_bmi_vc0817,F090,AUC,0.841851262476516,M0,AUCinf_Ci,2000,0.840371618166399,-0.1739110823969,0.0585584939703671,-0.175760775812661,-0.43162514130145,0.0807610933626135,0
k2016_bmi_vc0817,F090,AUC,0.841851262476516,M1,AUCinf_Ci,2000,0.840368007776667,-0.1739153785885,0.0583486640459505,-0.176189638949453,-0.431137254043334,0.0794107734612748,0
k2016_bmi_vc0817,F090,AUC,0.841851262476516,M0,AUCinf_Ciii,2000,0.839825634936632,-0.17456098614835,0.0587123095665956,-0.240615846310532,-0.496984757139762,0.0164135974511037,0
k2016_bmi_vc0817,F090,AUC,0.841851262476516,M1,AUCinf_Ciii,2000,0.839822210108684,-0.1745650641793,0.0585036581914455,-0.241022667337143,-0.496480621969719,0.0150911310986768,0
k2016_bmi_vc0817,F090,AUC,0.841851262476516,M0,AUCinf_Civ,2000,0.83847040575069,-0.1761759926164,0.0589825743767098,-0.401597868473846,-0.65872976816117,-0.143800416456841,0
k2016_bmi_vc0817,F090,AUC,0.841851262476516,M1,AUCinf_Civ,2000,0.838467026469301,-0.1761800229175,0.0587689385563329,-0.401999279214615,-0.658200009402998,-0.145137811912999,0
k2016_bmi_vc0817,F090,AUC,0.841851262476516,M0,AUCinf_true,2000,0.842103062643809,-0.17185287004055,0.0557565768826448,0.0299102915819693,-0.214228355819801,0.274646255396416,0
k2016_bmi_vc0817,F090,AUC,0.841851262476516,M1,AUCinf_true,2000,0.842100724472651,-0.17185564662991,0.0555537297859506,0.0296325499829608,-0.213618305993879,0.273476382455473,0
k2016_bmi_vc0817,F090,AUC,0.841851262476516,M0,AUClast,2000,0.838830228992254,-0.1757469422248,0.0587641374908156,-0.358855966477367,-0.615146764126817,-0.101904253499063,0
k2016_bmi_vc0817,F090,AUC,0.841851262476516,M1,AUClast,2000,0.83882701350228,-0.1757507755346,0.0585529474620918,-0.359237921119193,-0.614607848169435,-0.103211823194849,0
k2016_bmi_vc0817,F090,Cmax,0.883852614327079,M0,Cmax,2000,0.88254445272046,-0.12494612008865,0.0479701129898033,-0.148006758752939,-0.357713362569578,0.0621411924190296,0
k2016_bmi_vc0817,F090,Cmax,0.883852614327079,M1,Cmax,2000,0.88254739063539,-0.1249427911798,0.0478339222825689,-0.147674360015682,-0.356786911208429,0.0618770375140132,0
k2016_bmi_vc0817,KE120,AUC,0.904264427737875,M0,AUCinf_A,2000,0.910562103763638,-0.0936931737236078,0.0612236863618677,0.696441862864927,0.426610675346217,0.966998046171774,0
k2016_bmi_vc0817,KE120,AUC,0.904264427737875,M1,AUCinf_A,2000,0.908577156124944,-0.09587546781205,0.0585534131922371,0.476932217477355,0.219417219162432,0.735108903678716,0
k2016_bmi_vc0817,KE120,AUC,0.904264427737875,M0,AUCinf_Ai,2000,0.906561783630343,-0.098096094871105,0.0589324147993715,0.254057974857513,-0.00454679919164036,0.513331543607043,0
k2016_bmi_vc0817,KE120,AUC,0.904264427737875,M1,AUCinf_Ai,2000,0.905752442576217,-0.098989252466212,0.0570526245987866,0.164555277493861,-0.0855874712875182,0.415324276214424,0
k2016_bmi_vc0817,KE120,AUC,0.904264427737875,M0,AUCinf_Aiii,2000,0.905335885181397,-0.099449260292204,0.0742373517408171,0.118489394324928,-0.206726314490935,0.44476494668888,0
k2016_bmi_vc0817,KE120,AUC,0.904264427737875,M1,AUCinf_Aiii,2000,0.905868952457533,-0.098860627487731,0.0681951095009577,0.177439769877008,-0.121521816006409,0.477296223518309,0
k2016_bmi_vc0817,KE120,AUC,0.904264427737875,M0,AUCinf_Aiv,2000,0.916522546443133,-0.0871686114123505,0.100214317279836,1.35559006074397,0.911403748301942,1.80173156826635,0
k2016_bmi_vc0817,KE120,AUC,0.904264427737875,M1,AUCinf_Aiv,2000,0.914210701653037,-0.089694207122558,0.0881723209281287,1.09992980040632,0.710000973148617,1.49136835349915,0
k2016_bmi_vc0817,KE120,AUC,0.904264427737875,M0,AUCinf_B,2000,0.905697991998755,-0.099049370674736,0.0552431464948634,0.158533744876666,-0.0836705283571271,0.401325138456898,0
k2016_bmi_vc0817,KE120,AUC,0.904264427737875,M1,AUCinf_B,2000,0.905231052105324,-0.099565061673563,0.0547575755960792,0.106896206220042,-0.133057942587611,0.347426902104653,0
