pk_model,scenario,auc_ratio,cmax_ratio,config,analysis_model,n_trials,n_pass,pass_pct,lo,hi,diff_vs_M0_pp,diff_lo,diff_hi
k2020,F097,0.952367656502161,0.965498850360188,G2_Cii,M2,10000,9597,95.97,95.5665672537081,96.3381279360919,0.94,0.699050734742774,1.18094926525723
k2020,F097,0.952367656502161,0.965498850360188,P2,M0,10000,9468,94.68,94.2227140830539,95.1029718225425,,,
k2020,F097,0.952367656502161,0.965498850360188,P2,M1,10000,9529,95.29,94.8571005536198,95.6881168739643,0.61,0.457381890483956,0.762618109516045
k2020,F097,0.952367656502161,0.965498850360188,P2,M2,10000,9560,95.6,95.1802065822493,95.984772766345,0.92,0.669638158478635,1.17036184152136
k2020,S00,1,1,AUCinf_true_only,M0,10000,9940,99.4,99.2285132503221,99.533547710655,,,
k2020,S00,1,1,AUCinf_true_only,M1,10000,9947,99.47,99.3074594899829,99.5945477112223,0.07,0.0181597878049888,0.121840212195011
k2020,S00,1,1,AUCinf_true_only,M2,10000,9950,99.5,99.3414742683868,99.6205098929162,0.1,7.52784843459017e-05,0.199924721515654
k2020,S00,1,1,AUClast_only,M0,10000,9901,99.01,98.7962606018844,99.1860998778219,,,
k2020,S00,1,1,AUClast_only,M1,10000,9916,99.16,98.9612858568652,99.3209594233299,0.15,0.0741440815708445,0.225855918429156
k2020,S00,1,1,AUClast_only,M2,10000,9920,99.2,99.0055195654451,99.3566949948803,0.19,0.0676508329973963,0.312349167002604
k2020,S00,1,1,F3A,M0,10000,9830,98.3,98.0274568877193,98.5354488696734,,,
k2020,S00,1,1,F3A,M1,10000,9858,98.58,98.3287481322847,98.7939425860203,0.28,0.159298370475704,0.400701629524296
k2020,S00,1,1,F3A,M2,10000,9871,98.71,98.4693796023513,98.9132112763774,0.41,0.245037871150534,0.574962128849466
k2020,S00,1,1,F3B,M0,10000,9893,98.93,98.7087233947655,99.1136985246801,,,
k2020,S00,1,1,F3B,M1,10000,9908,99.08,98.8731160505793,99.2491906693551,0.15,0.0741440815708445,0.225855918429156
k2020,S00,1,1,F3B,M2,10000,9917,99.17,98.9723344943213,99.3299031059064,0.24,0.11306059868871,0.36693940131129
k2020,S00,1,1,F3C,M0,10000,9897,98.97,98.7524544269637,99.1499367726123,,,
k2020,S00,1,1,F3C,M1,10000,9910,99.1,98.8951233693397,99.2671679906599,0.13,0.0593749110314573,0.200625088968543
k2020,S00,1,1,F3C,M2,10000,9917,99.17,98.9723344943213,99.3299031059064,0.2,0.076096793229721,0.323903206770279
k2020,S00,1,1,G2_Ai,M0,10000,9919,99.19,98.9944512308792,99.3477710094137,,,
k2020,S00,1,1,G2_Ai,M1,10000,9926,99.26,99.0720771164792,99.4100913640417,0.07,-0.0108037784105323,0.150803778410532
k2020,S00,1,1,G2_Ai,M2,10000,9937,99.37,99.1948405467121,99.5072434541674,0.18,0.0624492141810849,0.297550785818915
k2020,S00,1,1,G2_Aii,M0,10000,9888,98.88,98.6541590683063,99.0683012509764,,,
k2020,S00,1,1,G2_Aii,M1,10000,9905,99.05,98.8401464294136,99.2221833304231,0.17,0.0645000389184907,0.275499961081509
k2020,S00,1,1,G2_Aii,M2,10000,9918,99.18,98.9833895803389,99.3388403399213,0.3,0.15344030485524,0.44655969514476
k2020,S00,1,1,G2_B,M0,10000,9943,99.43,99.2622795040472,99.5597584170277,,,
k2020,S00,1,1,G2_B,M1,10000,9948,99.48,99.3187848134007,99.6032147078372,0.05,0.00618263995006017,0.0938173600499398
k2020,S00,1,1,G2_B,M2,10000,9958,99.58,99.4328104183776,99.6891123031862,0.15,0.0602268070985137,0.239773192901486
k2020,S00,1,1,G2_Ci,M0,10000,9922,99.22,99.0276767833088,99.3745224170818,,,
k2020,S00,1,1,G2_Ci,M1,10000,9930,99.3,99.1165996916067,99.4455380690446,0.08,0.0245832550173461,0.135416744982654
k2020,S00,1,1,G2_Ci,M2,10000,9936,99.36,99.1836359609497,99.4984557198971,0.14,0.052386325281384,0.227613674718616
k2020,S00,1,1,G2_Cii,M0,10000,9913,99.13,98.9281775263915,99.2940907937058,,,
k2020,S00,1,1,G2_Cii,M1,10000,9920,99.2,99.0055195654451,99.3566949948803,0.07,0.0181597878049888,0.121840212195011
k2020,S00,1,1,G2_Cii,M2,10000,9930,99.3,99.1165996916067,99.4455380690446,0.17,0.0645000389184907,0.275499961081509
k2020,S00,1,1,P2,M0,10000,9900,99,98.7853017744885,99.1770663851852,,,
k2020,S00,1,1,P2,M1,10000,9915,99.15,98.9502435554067,99.3120094047558,0.15,0.0741440815708445,0.225855918429156
k2020,S00,1,1,P2,M2,10000,9919,99.19,98.9944512308792,99.3477710094137,0.19,0.0676508329973963,0.312349167002604
