pk_model,scenario,mechanism,direction,target,multiplier,auc_ratio,cmax_ratio,analysis_model,config,n_trials,n_pass,pass_pct,lo,hi,n_trials_10k,n_pass_10k,pass_pct_10k,lo_10k,hi_10k,class,class_10k
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M2,G2_Cii,10000,403,4.03,3.66187206390807,4.43343274629193,10000,403,4.03,3.66187206390807,4.43343274629193,conservative,conservative
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M2,P2,10000,358,3.58,3.23331501535284,3.96233539338078,10000,358,3.58,3.23331501535284,3.96233539338078,conservative,conservative
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M0,AUCinf_true_only,10000,439,4.39,4.00566646353162,4.8093618678415,10000,439,4.39,4.00566646353162,4.8093618678415,conservative,conservative
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M0,AUClast_only,10000,397,3.97,3.60465114473627,4.37069974526822,10000,397,3.97,3.60465114473627,4.37069974526822,conservative,conservative
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M0,F3A,10000,196,1.96,1.70618120834513,2.25071335510948,10000,196,1.96,1.70618120834513,2.25071335510948,conservative,conservative
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M0,F3B,10000,274,2.74,2.43773866715423,3.07855685884212,10000,274,2.74,2.43773866715423,3.07855685884212,conservative,conservative
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M0,F3C,10000,335,3.35,3.01485414257931,3.72097290540482,10000,335,3.35,3.01485414257931,3.72097290540482,conservative,conservative
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M0,G2_Ai,10000,363,3.63,3.28086111182889,4.01475089706765,10000,363,3.63,3.28086111182889,4.01475089706765,conservative,conservative
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M0,G2_Aii,10000,403,4.03,3.66187206390807,4.43343274629193,10000,403,4.03,3.66187206390807,4.43343274629193,conservative,conservative
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M0,G2_B,10000,347,3.47,3.1287811116642,3.84695377671097,10000,347,3.47,3.1287811116642,3.84695377671097,conservative,conservative
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M0,G2_Ci,10000,310,3.1,2.77790128565555,3.45811776151391,10000,310,3.1,2.77790128565555,3.45811776151391,conservative,conservative
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M0,G2_Cii,10000,339,3.39,3.05281670261447,3.76297962550001,10000,339,3.39,3.05281670261447,3.76297962550001,conservative,conservative
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M0,P2,10000,397,3.97,3.60465114473627,4.37069974526822,10000,397,3.97,3.60465114473627,4.37069974526822,conservative,conservative
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M1,AUCinf_true_only,10000,496,4.96,4.55148389118455,5.403106682046,10000,496,4.96,4.55148389118455,5.403106682046,nominal,nominal
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M1,AUClast_only,10000,433,4.33,3.94831383323837,4.74676057793923,10000,433,4.33,3.94831383323837,4.74676057793923,conservative,conservative
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M1,F3A,10000,236,2.36,2.08026758122455,2.67631978353351,10000,236,2.36,2.08026758122455,2.67631978353351,conservative,conservative
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M1,F3B,10000,309,3.09,2.76843491466,3.44759181247688,10000,309,3.09,2.76843491466,3.44759181247688,conservative,conservative
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M1,F3C,10000,369,3.69,3.33794100858006,4.07762492051201,10000,369,3.69,3.33794100858006,4.07762492051201,conservative,conservative
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M1,G2_Ai,10000,392,3.92,3.55698505848916,4.31840423135239,10000,392,3.92,3.55698505848916,4.31840423135239,conservative,conservative
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M1,G2_Aii,10000,431,4.31,3.92920090275081,4.72588886836161,10000,431,4.31,3.92920090275081,4.72588886836161,conservative,conservative
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M1,G2_B,10000,376,3.76,3.40456732471201,4.15094484460816,10000,376,3.76,3.40456732471201,4.15094484460816,conservative,conservative
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M1,G2_Ci,10000,350,3.5,3.1572809892696,3.87843085920333,10000,350,3.5,3.1572809892696,3.87843085920333,conservative,conservative
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M1,G2_Cii,10000,371,3.71,3.35697349886415,4.09857707029309,10000,371,3.71,3.35697349886415,4.09857707029309,conservative,conservative
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M1,P2,10000,433,4.33,3.94831383323837,4.74676057793923,10000,433,4.33,3.94831383323837,4.74676057793923,conservative,conservative
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M2,AUCinf_true_only,10000,504,5.04,4.62822019715975,5.48630893633149,10000,504,5.04,4.62822019715975,5.48630893633149,nominal,nominal
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M2,AUClast_only,10000,438,4.38,3.9961062612773,4.79892975006323,10000,438,4.38,3.9961062612773,4.79892975006323,conservative,conservative
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M2,F3A,10000,237,2.37,2.08965084337319,2.68692884141747,10000,237,2.37,2.08965084337319,2.68692884141747,conservative,conservative
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M2,F3B,10000,311,3.11,2.78736859331087,3.46864277389118,10000,311,3.11,2.78736859331087,3.46864277389118,conservative,conservative
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M2,F3C,10000,372,3.72,3.3664908295853,4.10905205960452,10000,372,3.72,3.3664908295853,4.10905205960452,conservative,conservative
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M2,G2_Ai,10000,376,3.76,3.40456732471201,4.15094484460816,10000,376,3.76,3.40456732471201,4.15094484460816,conservative,conservative
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M2,G2_Aii,10000,436,4.36,3.97698756779513,4.77806380348023,10000,436,4.36,3.97698756779513,4.77806380348023,conservative,conservative
