pk_model,scenario,config,comparison,diff_pp,lo,hi,n_trials,n_gain,n_loss
k2020,Vmax_up_080,G2_Aii,M1 minus M0,0.42,0.09565646572462,0.74434353427538,10000,158,116
k2020,Vmax_up_080,G2_B,M1 minus M0,0.61,0.440675260049679,0.779324739950321,10000,68,7
k2020,Vmax_up_080,G2_Ci,M1 minus M0,0.4,0.273215651072786,0.526784348927214,10000,41,1
k2020,Vmax_up_080,G2_Cii,M1 minus M0,0.25,0.15211948103067,0.34788051896933,10000,25,0
k2020,Vmax_up_080,P2,M1 minus M0,0.2,0.112431063510116,0.287568936489884,10000,20,0
k2020,ka_down_080,AUCinf_true_only,M1 minus M0,0.4,0.276282973961146,0.523717026038854,10000,40,0
k2020,ka_down_080,AUClast_only,M1 minus M0,0.36,0.242608158151276,0.477391841848724,10000,36,0
k2020,ka_down_080,F3A,M1 minus M0,0,0,0,10000,0,0
k2020,ka_down_080,F3B,M1 minus M0,0,0,0,10000,0,0
k2020,ka_down_080,F3C,M1 minus M0,0,0,0,10000,0,0
k2020,ka_down_080,G2_Ai,M1 minus M0,0,0,0,10000,0,0
k2020,ka_down_080,G2_Aii,M1 minus M0,0,0,0,10000,0,0
k2020,ka_down_080,G2_B,M1 minus M0,0,0,0,10000,0,0
k2020,ka_down_080,G2_Ci,M1 minus M0,0,0,0,10000,0,0
k2020,ka_down_080,G2_Cii,M1 minus M0,0,0,0,10000,0,0
k2020,ka_down_080,P2,M1 minus M0,0,0,0,10000,0,0
k2020,ke_down_125,AUCinf_true_only,M1 minus M0,0.43,0.301746776865786,0.558253223134214,10000,43,0
k2020,ke_down_125,AUClast_only,M1 minus M0,0.37,0.250994856045036,0.489005143954964,10000,37,0
k2020,ke_down_125,F3A,M1 minus M0,0.34,0.216214054453501,0.463785945546499,10000,37,3
k2020,ke_down_125,F3B,M1 minus M0,0.24,0.144092262062551,0.335907737937449,10000,24,0
k2020,ke_down_125,F3C,M1 minus M0,0.35,0.234244274695936,0.465755725304064,10000,35,0
k2020,ke_down_125,G2_Ai,M1 minus M0,0.25,0.107389494048684,0.392610505951316,10000,39,14
k2020,ke_down_125,G2_Aii,M1 minus M0,0.53,0.299145716090398,0.760854283909602,10000,96,43
k2020,ke_down_125,G2_B,M1 minus M0,0.37,0.24780919474551,0.49219080525449,10000,38,1
k2020,ke_down_125,G2_Ci,M1 minus M0,0.42,0.293240501301207,0.546759498698793,10000,42,0
k2020,ke_down_125,G2_Cii,M1 minus M0,0.41,0.281721617017664,0.538278382982336,10000,42,1
k2020,ke_down_125,P2,M1 minus M0,0.37,0.250994856045036,0.489005143954964,10000,37,0
k2020,ke_up_080,AUCinf_true_only,M1 minus M0,0.37,0.250994856045036,0.489005143954964,10000,37,0
