pk_model,scenario,endpoint,analysis_model,n_trials,mean_log_gmr,sd_log_gmr,se_median,df_median,true_ratio,bias_log,bias_mc_se,sd_se_ratio,bias_lo,bias_hi,bias_pct,sd_se_lo,sd_se_hi,pred_pct,theory_boundary_pct,bias_dir
k2016,F_down_080,AUCinf_Ci,M1,10000,-0.2252336486848,0.048967006190984,0.049164916,231,0.79988525403249,-0.00194665462378341,0.000489670061909841,0.995974572416315,-0.00290639030943419,-0.00098691893813262,-0.194476112053621,0.982169542294466,1.00977697405286,4.44869609152069,4.97027630884306,away_from_1
k2016,F_down_080,AUCinf_Ci,M2,10000,-0.225264600518,0.0483362306223813,0.048507703,231,0.79988525403249,-0.00197760645698386,0.000483362306223813,0.996465048497169,-0.00292497916866675,-0.00103023374530097,-0.197565228174335,0.982653219971769,1.01027424724284,4.44511729989521,4.96987456997013,away_from_1
k2016,F_down_080,AUCinf_true,M0,10000,-0.223140410263399,0.0462875635476243,0.0480605005,232,0.79988525403249,0.000146583797617228,0.000462875635476243,0.963110310256222,-0.000760635777237299,0.00105380337247176,0.0146594541547085,0.949760805949608,0.976457272809895,4.32060781411185,4.96959364375541,none
k2016,F_down_080,AUCinf_true,M1,10000,-0.223134790782799,0.0462713252184024,0.046515337,231,0.79988525403249,0.000152203278217494,0.000462713252184024,0.994754165027385,-0.000754698031232592,0.00105910458766758,0.015221486172412,0.980966050759848,1.0085396540304,4.84575827312542,4.9685874863989,none
k2016,F_down_080,AUCinf_true,M2,10000,-0.2231643752064,0.0455870611810395,0.045843229,231,0.79988525403249,0.000122618854616174,0.000455870611810395,0.994412090410113,-0.000770871126142439,0.00101610883537479,0.0122626372615287,0.980628717579281,1.0081928388792,4.83352696961744,4.96812812878266,none
k2016,F_down_080,AUClast,M0,10000,-0.2283586207258,0.0493941425253414,0.051068469,232,0.79988525403249,-0.00507162666478353,0.000493941425253414,0.96721408517928,-0.0060397340687526,-0.00410351926081446,-0.505878768028556,0.953807699163037,0.980617918612273,3.49152655634981,4.9713804736391,away_from_1
k2016,F_down_080,AUClast,M1,10000,-0.2283529095941,0.0493813604094235,0.049559206,231,0.79988525403249,-0.00506591553308386,0.000493813604094235,0.996411451979749,-0.00603377241218448,-0.00409805865398324,-0.505310542376258,0.982600366346344,1.01021990797487,3.89572553645739,4.9705122274361,away_from_1
k2016,F_down_080,AUClast,M2,10000,-0.228381717992999,0.0487536702149309,0.048873923,231,0.79988525403249,-0.00509472393198293,0.000487536702149309,0.997539530741801,-0.00605027830933701,-0.00413916955462885,-0.50817678379238,0.983712809005105,1.01136361986309,3.8950949886347,4.97009976131084,away_from_1
k2016,F_down_080,Cmax,M0,10000,-0.16177376273105,0.0428617023526725,0.043867382,232,0.852080931927538,-0.00169999659219358,0.000428617023526725,0.977074546018554,-0.00254007052146672,-0.000859922662920444,-0.169855241646733,0.963531485871593,0.990615027559435,39.8054054640574,41.5480279379706,away_from_1
k2016,F_down_080,Cmax,M1,10000,-0.16177334137159,0.0428564510074033,0.0429906715,231,0.852080931927538,-0.00169957523273331,0.000428564510074033,0.996877915884689,-0.00253954623753047,-0.000859604227936156,-0.169813177261957,0.983060364676323,1.01069283622373,41.1124132851157,42.6923176155546,away_from_1
