input_model,cmax_cv_rule,cmax_gmr_rule,cv,gmr,analysis_model,target_pct,n_evaluable_per_arm,n_randomized_per_arm
k2016,ratio,mechanistic,46,0.9,M0,85,197,219
k2016,ratio,mechanistic,46,0.9,M0,90,234,260
k2016,ratio,mechanistic,46,0.9,M1,85,192,214
k2016,ratio,mechanistic,46,0.9,M1,90,227,253
k2016,ratio,mechanistic,46,0.95,M0,85,96,107
k2016,ratio,mechanistic,46,0.95,M0,90,112,125
k2016,ratio,mechanistic,46,0.95,M1,85,94,105
k2016,ratio,mechanistic,46,0.95,M1,90,110,123
k2016,ratio,mechanistic,46,1,M0,85,75,84
k2016,ratio,mechanistic,46,1,M0,90,85,95
k2016,ratio,mechanistic,46,1,M1,85,74,83
k2016,ratio,mechanistic,46,1,M1,90,83,93
k2016,ratio,mechanistic,50,0.9,M0,85,230,256
k2016,ratio,mechanistic,50,0.9,M0,90,272,303
k2016,ratio,mechanistic,50,0.9,M1,85,224,249
k2016,ratio,mechanistic,50,0.9,M1,90,266,296
k2016,ratio,mechanistic,50,0.95,M0,85,112,125
k2016,ratio,mechanistic,50,0.95,M0,90,131,146
k2016,ratio,mechanistic,50,0.95,M1,85,110,123
k2016,ratio,mechanistic,50,0.95,M1,90,128,143
k2016,ratio,mechanistic,50,1,M0,85,88,98
k2016,ratio,mechanistic,50,1,M0,90,99,110
k2016,ratio,mechanistic,50,1,M1,85,86,96
k2016,ratio,mechanistic,50,1,M1,90,97,108
k2016,ratio,mechanistic,52,0.9,M0,85,246,274
k2016,ratio,mechanistic,52,0.9,M0,90,292,325
k2016,ratio,mechanistic,52,0.9,M1,85,241,268
k2016,ratio,mechanistic,52,0.9,M1,90,286,318
k2016,ratio,mechanistic,52,0.95,M0,85,120,134
k2016,ratio,mechanistic,52,0.95,M0,90,141,157
k2016,ratio,mechanistic,52,0.95,M1,85,118,132
k2016,ratio,mechanistic,52,0.95,M1,90,138,154
k2016,ratio,mechanistic,52,1,M0,85,94,105
k2016,ratio,mechanistic,52,1,M0,90,106,118
k2016,ratio,mechanistic,52,1,M1,85,93,104
k2016,ratio,mechanistic,52,1,M1,90,104,116
