input_model,cv,gmr,n,analysis_model,analytic_pct,mc_trials,mc_pct,mc_lo,mc_hi,diff_pp,analytic_in_ci
k2016,50,1,130,M1,97.4635174775967,5000,97.36,96.8779459227996,97.7693373489646,-0.103517477596682,TRUE
k2016,50,1,140,M0,98.1181116138185,5000,98.04,97.6172691852521,98.3889700118669,-0.0781116138184359,TRUE
k2016,50,1,140,M1,98.2829754659034,5000,98.2,97.7927694912989,98.5332240411975,-0.0829754659033881,TRUE
k2016,52,1,100,M0,89.0878725974751,5000,88.64,87.7306100544386,89.4900619392474,-0.447872597475055,TRUE
k2016,52,1,100,M1,89.7696760890422,5000,89.44,88.5576650216775,90.2617786488965,-0.329676089042181,TRUE
k2016,52,1,117,M0,93.881617349815,5000,93.72,93.0134082688333,94.359463873091,-0.161617349814961,TRUE
k2016,52,1,117,M1,94.3059129887668,5000,94.24,93.559601017026,94.8524727148754,-0.0659129887667973,TRUE
k2016,52,1,130,M0,96.1105259077981,5000,96.44,95.8897185251554,96.9189773181877,0.32947409220192,TRUE
k2016,52,1,130,M1,96.3996115258699,5000,96.7,96.1678956509556,97.1604009873761,0.300388474130074,TRUE
k2016,52,1,140,M0,97.2704179122653,5000,97.24,96.7483735393513,97.6590939808798,-0.0304179122652357,TRUE
k2016,52,1,140,M1,97.4833526697959,5000,97.48,97.007757917164,97.8793411061334,-0.00335266979590187,TRUE
k2020,35,0.9,100,M0,73.5024458932408,5000,72.48,71.22516611751,73.7003180030402,-1.02244589324079,TRUE
k2020,35,0.9,100,M1,75.1566423536984,5000,74.06,72.8269567502387,75.2561014321652,-1.09664235369834,TRUE
k2020,35,0.9,117,M0,80.0858233972442,5000,80.06,78.9296337687519,81.1442119903113,-0.0258233972442099,TRUE
k2020,35,0.9,117,M1,81.4892384436186,5000,81.46,80.3588061743811,82.5128900192359,-0.0292384436185529,TRUE
k2020,35,0.9,130,M0,84.1257315936776,5000,83.7,82.6503839557986,84.6978729331046,-0.425731593677583,TRUE
k2020,35,0.9,130,M1,85.338143580196,5000,84.88,83.8602599924728,85.84618511984,-0.458143580196023,TRUE
k2020,35,0.9,140,M0,86.7254421338362,5000,86.96,85.9981659522179,87.8650855200035,0.234557866163769,TRUE
k2020,35,0.9,140,M1,87.797784282067,5000,87.94,87.0080779680581,88.813668808351,0.142215717932984,TRUE
k2020,40,0.9,100,M0,66.5659603460336,5000,65.12,63.7878311474362,66.4289535457453,-1.44596034603354,FALSE
k2020,40,0.9,100,M1,68.2233965773966,5000,66.72,65.401483320742,68.0128447262154,-1.50339657739663,FALSE
k2020,40,0.9,117,M0,73.3362657543253,5000,73.42,72.1778895553891,74.6261512855045,0.083734245674691,TRUE
k2020,40,0.9,117,M1,74.8331210413369,5000,74.98,73.7605827016671,76.1610629091578,0.146878958663137,TRUE
k2020,40,0.9,130,M0,77.6974414643046,5000,77.42,76.2402881604873,78.5576110648458,-0.277441464304587,TRUE
k2020,40,0.9,130,M1,79.0574796704495,5000,79.14,77.9916321873757,80.2436261432664,0.082520329550519,TRUE
k2020,40,0.9,140,M0,80.6173698413197,5000,81.64,80.5427204240251,82.6886993968917,1.02263015868027,TRUE
k2020,40,0.9,140,M1,81.8696488466434,5000,83.04,81.9745183747876,84.0547518806831,1.17035115335662,FALSE
k2020,43,0.9,100,M0,62.319528414194,5000,62.6,61.2496300957825,63.9310238152021,0.280471585806033,TRUE
k2020,43,0.9,100,M1,63.8927217241107,5000,63.96,62.6189600869696,65.2796056747245,0.0672782758893149,TRUE
k2020,43,0.9,117,M0,68.9932913945488,5000,68.6,67.2996940742354,69.8717474134085,-0.393291394548825,TRUE
k2020,43,0.9,117,M1,70.4528206402384,5000,70.04,68.7552921170055,71.2939383890366,-0.412820640238365,TRUE
k2020,43,0.9,130,M0,73.3964269136412,5000,74.74,73.5169596679269,75.9250544398316,1.34357308635877,FALSE
k2020,43,0.9,130,M1,74.7526604572779,5000,76.24,75.0404196151589,77.3992913867645,1.48733954272207,FALSE
k2020,43,0.9,140,M0,76.4041513638582,5000,76.06,74.8575003019029,77.2224870727208,-0.344151363858188,TRUE
k2020,43,0.9,140,M1,77.6758773221319,5000,77.06,75.8740901193189,78.2043618514146,-0.615877322131851,TRUE
k2020,46,0.9,100,M0,58.2596059234153,5000,58.6,57.2286563165815,59.9581392099635,0.340394076584659,TRUE
k2020,46,0.9,100,M1,59.7204977414877,5000,60,58.6349197225731,61.3497262385258,0.279502258512302,TRUE
k2020,46,0.9,117,M0,64.7406186846433,5000,64.2,62.86072583747,65.5174714272904,-0.540618684643263,TRUE
k2020,46,0.9,117,M1,66.1243303917,5000,65.74,64.4129241423887,67.0429086003809,-0.384330391699976,TRUE
k2020,46,0.9,130,M0,69.1003383645053,5000,68.54,67.2390756897191,69.8124579221582,-0.560338364505242,TRUE
k2020,46,0.9,130,M1,70.4092252205727,5000,69.68,68.3912549743129,70.9385282771297,-0.729225220572673,TRUE
k2020,46,0.9,140,M0,72.1284383134421,5000,71.08,69.8074825691621,72.3201511168343,-1.04843831344206,TRUE
k2020,46,0.9,140,M1,73.3738071713422,5000,72.46,71.2049029418914,73.6806118867367,-0.913807171342185,TRUE
k2020,50,0.9,100,M0,53.2793361248965,5000,54.22,52.8363278238929,55.5971927716908,0.940663875103532,TRUE
k2020,50,0.9,100,M1,54.5799028894635,5000,55.26,53.8782715384313,56.6336522371067,0.680097110536494,TRUE
k2020,50,0.9,117,M0,59.4343532917981,5000,60,58.6349197225731,61.3497262385258,0.565646708201911,TRUE
k2020,50,0.9,117,M1,60.6907235811938,5000,60.84,59.4792303896318,62.1841258321993,0.149276418806195,TRUE
k2020,50,0.9,130,M0,63.6517803782209,5000,63.12,61.773062611747,64.4467928892147,-0.531780378220894,TRUE
k2020,50,0.9,130,M1,64.8619232644106,5000,64.42,63.0823762205183,65.7354832553863,-0.44192326441059,TRUE
k2020,50,0.9,140,M0,66.6317883067291,5000,67.66,66.350289936263,68.9425948310376,1.02821169327086,TRUE
k2020,50,0.9,140,M1,67.8007275845426,5000,68.94,67.6432454385543,70.2076740117669,1.13927241545738,TRUE
k2020,52,0.9,100,M0,50.9874827382358,5000,51.02,49.6341332791366,52.4043006088955,0.0325172617642053,TRUE
k2020,52,0.9,100,M1,52.2109673921192,5000,52.1,50.7142375825638,53.482538069267,-0.110967392119179,TRUE
k2020,52,0.9,117,M0,56.9756649438238,5000,57.88,56.5058783368447,59.2420226805012,0.904335056176237,TRUE
k2020,52,0.9,117,M1,58.1656505539956,5000,59.12,57.7508492514044,60.4751478651178,0.954349446004414,TRUE
k2020,52,0.9,130,M0,61.1024242498599,5000,60.08,58.7153122966914,61.4292108320963,-1.02242424985985,TRUE
k2020,52,0.9,130,M1,62.2566975908379,5000,61.2,59.8412061002575,62.5415973761733,-1.05669759083788,TRUE
k2020,52,0.9,140,M0,64.0372615478612,5000,63.42,62.0751186116486,64.744276268146,-0.617261547861205,TRUE
k2020,52,0.9,140,M1,65.1589830574302,5000,64.54,63.20328928756,65.8543859398778,-0.618983057430199,TRUE
k2020,35,0.95,100,M0,96.6873509862509,5000,96.66,96.1250483670754,97.1233096874119,-0.0273509862508945,TRUE
k2020,35,0.95,100,M1,97.051842167212,5000,97.12,96.6190258200132,97.5486259486847,0.0681578327880033,TRUE
k2020,35,0.95,117,M0,98.4266893720346,5000,98.54,98.1683158393575,98.8371556558163,0.113310627965404,TRUE
k2020,35,0.95,117,M1,98.6201203402375,5000,98.64,98.2795771379468,98.9257408168381,0.0198796597624806,TRUE
k2020,35,0.95,130,M0,99.1247175126731,5000,99.04,98.7295713029105,99.2751324903183,-0.084717512673123,TRUE
k2020,35,0.95,130,M1,99.2405078593747,5000,99.12,98.8207847049149,99.3437962560027,-0.120507859374726,TRUE
k2020,35,0.95,140,M0,99.4474259710414,5000,99.42,99.1682661367759,99.5958542029746,-0.0274259710413816,TRUE
k2020,35,0.95,140,M1,99.5243405581206,5000,99.5,99.2629076527497,99.6610898546897,-0.0243405581206275,TRUE
k2020,40,0.95,100,M0,93.3614325385686,5000,92.88,92.133800308678,93.5603615725139,-0.48143253856864,TRUE
