input_model,cmax_cv_rule,cmax_gmr_rule,cv,gmr,n,analysis_model,power_pct
k2016,ratio,equal,40,1,100,M0,98.7551936081052
k2016,ratio,equal,40,1,100,M1,98.9239728139187
k2016,ratio,equal,40,1,117,M0,99.5663980313155
k2016,ratio,equal,40,1,117,M1,99.6315945583049
k2016,ratio,equal,40,1,130,M0,99.809264110073
k2016,ratio,equal,40,1,130,M1,99.8399376931692
k2016,ratio,equal,40,1,140,M0,99.8993627993578
k2016,ratio,equal,40,1,140,M1,99.9163133071323
k2016,ratio,equal,43,0.9,100,M0,59.5030580688379
k2016,ratio,equal,43,0.9,100,M1,61.1443120868016
k2016,ratio,equal,43,0.9,117,M0,66.4924751271341
k2016,ratio,equal,43,0.9,117,M1,68.0347751348953
k2016,ratio,equal,43,0.9,130,M0,71.1607615729866
k2016,ratio,equal,43,0.9,130,M1,72.6057848944454
k2016,ratio,equal,43,0.9,140,M0,74.3746333885981
k2016,ratio,equal,43,0.9,140,M1,75.7371196110108
k2016,ratio,equal,43,0.95,100,M0,89.6091579013737
k2016,ratio,equal,43,0.95,100,M1,90.3815316275767
k2016,ratio,equal,43,0.95,117,M0,93.6371432232825
k2016,ratio,equal,43,0.95,117,M1,94.1670772960615
k2016,ratio,equal,43,0.95,130,M0,95.6595820504781
k2016,ratio,equal,43,0.95,130,M1,96.0497568618345
k2016,ratio,equal,43,0.95,140,M0,96.779757107471
k2016,ratio,equal,43,0.95,140,M1,97.0850890456602
k2016,ratio,equal,43,1,100,M0,97.2857911664759
k2016,ratio,equal,43,1,100,M1,97.5792664747137
k2016,ratio,equal,43,1,117,M0,98.8942669363365
k2016,ratio,equal,43,1,117,M1,99.0274118853488
k2016,ratio,equal,43,1,130,M0,99.4508769310167
k2016,ratio,equal,43,1,130,M1,99.5218018362736
k2016,ratio,equal,43,1,140,M0,99.6816563717824
k2016,ratio,equal,43,1,140,M1,99.7248087650231
k2016,ratio,equal,46,0.9,100,M0,54.160985198147
k2016,ratio,equal,46,0.9,100,M1,55.6405679395568
k2016,ratio,equal,46,0.9,117,M0,60.9918911518027
k2016,ratio,equal,46,0.9,117,M1,62.4220353834269
k2016,ratio,equal,46,0.9,130,M0,65.6706469538983
k2016,ratio,equal,46,0.9,130,M1,67.0415039261739
k2016,ratio,equal,46,0.9,140,M0,68.9579974053319
k2016,ratio,equal,46,0.9,140,M1,70.2740692657538
k2016,ratio,equal,46,0.95,100,M0,85.5020558405104
k2016,ratio,equal,46,0.95,100,M1,86.3719734859604
k2016,ratio,equal,46,0.95,117,M0,90.5195978677511
k2016,ratio,equal,46,0.95,117,M1,91.1560415665736
k2016,ratio,equal,46,0.95,130,M0,93.1849351910373
k2016,ratio,equal,46,0.95,130,M1,93.6788702079972
k2016,ratio,equal,46,0.95,140,M0,94.7310265441403
