input_model,cv,gmr,n,analysis_model,n_trials,n_pass,n_pass_auc,n_pass_cmax,power_pct,lo,hi,analytic_pct,diff_pp,analytic_in_ci
k2016,40,1,117,M1,5000,4978,4980,4998,99.56,99.3346618585059,99.7092435247001,99.6285775979382,-0.0685775979381447,TRUE
k2016,40,1,130,M0,5000,4995,4995,5000,99.9,99.7661046949942,99.9572786508891,99.8080024906977,0.0919975093023027,TRUE
k2016,40,1,130,M1,5000,4995,4995,5000,99.9,99.7661046949942,99.9572786508891,99.8388057318556,0.0611942681444049,TRUE
k2016,40,1,140,M0,5000,4995,4996,4999,99.9,99.7661046949942,99.9572786508891,99.8987765112405,0.00122348875950706,TRUE
k2016,40,1,140,M1,5000,4995,4996,4999,99.9,99.7661046949942,99.9572786508891,99.9157919659063,-0.0157919659062742,TRUE
k2016,43,0.9,100,M0,5000,3115,3303,4037,62.3,60.9477250350808,63.6333894970708,61.1597084690373,1.14029153096272,TRUE
k2016,43,0.9,100,M1,5000,3187,3373,4087,63.74,62.3973731289612,65.0615304215886,62.8510856920384,0.888914307961606,TRUE
k2016,43,0.9,117,M0,5000,3475,3627,4306,69.5,68.2092710948519,70.7607885292909,68.039441325165,1.46055867483506,FALSE
k2016,43,0.9,117,M1,5000,3551,3695,4347,71.02,69.7467576851793,72.2609681250505,69.6130710239723,1.40692897602773,FALSE
k2016,43,0.9,130,M0,5000,3690,3790,4462,73.8,72.5632330582956,75.0002243291197,72.5911112753172,1.20888872468285,TRUE
k2016,43,0.9,130,M1,5000,3736,3832,4489,74.72,73.4966599477835,75.9053848680529,74.0552597327088,0.664740267291222,TRUE
k2016,43,0.9,140,M0,5000,3724,3828,4515,74.48,73.2530895260074,75.6693237867626,75.7042808257121,-1.22428082571209,FALSE
k2016,43,0.9,140,M1,5000,3787,3886,4537,75.74,74.5323815049501,76.9080971989184,77.0779900149091,-1.33799001490912,FALSE
k2016,43,0.95,100,M0,5000,4502,4530,4901,90.04,89.1789487735522,90.8395736546876,90.2319875990238,-0.191987599023832,TRUE
k2016,43,0.95,100,M1,5000,4541,4570,4907,90.82,89.9880149530205,91.589309860185,90.9911548673442,-0.171154867344242,TRUE
