scenario,lloq,resid,model,config,n_trials,n_pass,pass_pct,lo,hi,diff_vs_ref_pp,diff_lo,diff_hi,mechanism,direction,target,multiplier,auc_ratio,cmax_ratio,class
Vmax_down_125,0.02,scaled,M1,AUClast_only,5000,142,2.84,2.4145272686654,3.33788237879239,-0.02,-0.0878996711420279,0.0478996711420279,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,conservative
Vmax_down_125,0.05,scaled,M1,AUClast_only,5000,142,2.84,2.4145272686654,3.33788237879239,-0.02,-0.0591992796908011,0.0191992796908011,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,conservative
Vmax_down_125,0.078,scaled,M1,AUClast_only,5000,143,2.86,2.43294769785482,3.35943124152517,0,0,0,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,conservative
Vmax_down_125,0.1,scaled,M1,AUClast_only,5000,143,2.86,2.43294769785482,3.35943124152517,0,0,0,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,conservative
Vmax_down_125,0.2,scaled,M1,AUClast_only,5000,141,2.82,2.39611282416891,3.31632753136668,-0.04,-0.0954306079724255,0.0154306079724255,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,conservative
Vmax_down_125,0.5,scaled,M1,AUClast_only,5000,138,2.76,2.34090601912026,3.25162646064874,-0.1,-0.217576926748398,0.0175769267483981,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,conservative
Vmax_down_125,0.02,scaled,M1,G2_Aii,5000,1180,23.6,22.4435736245015,24.7969610381976,-1.92,-2.53257029447249,-1.30742970552751,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,exceeding
Vmax_down_125,0.05,scaled,M1,G2_Aii,5000,1241,24.82,23.6423008133588,26.0363606565943,-0.7,-1.16179140066237,-0.238208599337634,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,exceeding
Vmax_down_125,0.078,scaled,M1,G2_Aii,5000,1276,25.52,24.3306762132374,26.7469104739926,0,0,0,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,exceeding
Vmax_down_125,0.1,scaled,M1,G2_Aii,5000,1294,25.88,24.6848578744671,27.1121760673625,0.36,-0.0472893656441659,0.767289365644166,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,exceeding
