pk_model,scenario,mechanism,direction,target,multiplier,auc_ratio,cmax_ratio,analysis_model,endpoint,n,mean_log_gmr,sd_log_gmr,bias_pct,bias_mc_se_pct,bias_dir,config
k2016,ke_up_080,ke,up,0.8,1.47110350143772,0.800334236753497,0.929468091140586,M1,AUCinf_C,10000,-0.227235690856599,0.0488405712624717,-0.449969413651208,0.0488405712624717,away_from_1,C_ii
k2016,ke_up_080,ke,up,0.8,1.47110350143772,0.800334236753497,0.929468091140586,M0,AUCinf_Ci,10000,-0.2267842959705,0.0484916602675801,-0.405022895382445,0.0484916602675801,away_from_1,C_i
k2016,ke_up_080,ke,up,0.8,1.47110350143772,0.800334236753497,0.929468091140586,M1,AUCinf_Ci,10000,-0.226778457620501,0.0484801906350922,-0.404441423350532,0.0484801906350922,away_from_1,C_i
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M0,AUCinf_Aiii,10000,-0.2071162002892,0.0606495957026025,1.63022486782667,0.0606495957026025,toward_1,A_iii
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M1,AUCinf_Aiii,10000,-0.20765238440998,0.0599494574284814,1.57574696146063,0.0599494574284814,toward_1,A_iii
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M0,AUCinf_Aiv,10000,-0.201282195641718,0.0825245831679615,2.22486896365097,0.0825245831679615,toward_1,A_iv
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M1,AUCinf_Aiv,10000,-0.202059323429724,0.0811026783126895,2.14545803756923,0.0811026783126895,toward_1,A_iv
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M0,AUCinf_Ciii,10000,-0.226196173222099,0.0491822281952788,-0.290495159995829,0.0491822281952788,away_from_1,C_iii
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M1,AUCinf_Ciii,10000,-0.2261902249176,0.0491684627104474,-0.289902055735636,0.0491684627104474,away_from_1,C_iii
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M0,AUCinf_Civ,10000,-0.228842512401601,0.0495726734864394,-0.554011498630802,0.0495726734864394,away_from_1,C_iv
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M1,AUCinf_Civ,10000,-0.228836867179801,0.0495598575567552,-0.553450102384001,0.0495598575567552,away_from_1,C_iv
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M0,AUCinf_Aiii,10000,0.2116549471621,0.0589679553337141,-1.1507133213723,0.0589679553337141,toward_1,A_iii
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M1,AUCinf_Aiii,10000,0.211889685434248,0.0582724958995765,-1.12750688700174,0.0582724958995765,toward_1,A_iii
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M0,AUCinf_Aiv,10000,0.200763070307119,0.0768813167629756,-2.22152541622763,0.0768813167629756,toward_1,A_iv
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M1,AUCinf_Aiv,10000,0.201532079092527,0.0759290885861446,-2.1463039909875,0.0759290885861446,toward_1,A_iv
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M0,AUCinf_Ciii,10000,0.2257945162974,0.0477399204019209,0.256901080523297,0.0477399204019209,away_from_1,C_iii
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M1,AUCinf_Ciii,10000,0.225800192052698,0.0477267098904257,0.257470115775704,0.0477267098904257,away_from_1,C_iii
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M0,AUCinf_Civ,10000,0.2283688914733,0.0481408619395815,0.515332464820384,0.0481408619395815,away_from_1,C_iv
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M1,AUCinf_Civ,10000,0.2283747016746,0.0481274808537691,0.515916480832379,0.0481274808537691,away_from_1,C_iv
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M0,AUCinf_Aiii,10000,-0.217628264074987,0.0552906967268662,0.588533537432623,0.0552906967268662,toward_1,A_iii
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M1,AUCinf_Aiii,10000,-0.218577055406189,0.0547190957936928,0.493141269628339,0.0547190957936928,toward_1,A_iii
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M0,AUCinf_Aiv,10000,-0.19494614805665,0.0697766584264518,2.89616638851711,0.0697766584264518,toward_1,A_iv
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M1,AUCinf_Aiv,10000,-0.196359823573094,0.0686200096212174,2.75080736681084,0.0686200096212174,toward_1,A_iv
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M0,AUCinf_Ciii,10000,-0.229537580502701,0.0465726321386088,-0.602302043758218,0.0465726321386088,away_from_1,C_iii
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M1,AUCinf_Ciii,10000,-0.2295321222253,0.0465587321390522,-0.601759502069033,0.0465587321390522,away_from_1,C_iii
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M0,AUCinf_Civ,10000,-0.2248777733591,0.0471057083075278,-0.138047111600892,0.0471057083075278,away_from_1,C_iv
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M1,AUCinf_Civ,10000,-0.2248723849612,0.0470918852079447,-0.137509014213899,0.0470918852079447,away_from_1,C_iv
k2016,Vmax_down_125,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,M0,AUCinf_Aiii,10000,0.19627875189821,0.0577332501316688,-2.71950666214911,0.0577332501316688,toward_1,A_iii
k2016,Vmax_down_125,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,M1,AUCinf_Aiii,10000,0.19705375015714,0.0571340790765859,-2.64408522721903,0.0571340790765859,toward_1,A_iii
k2016,Vmax_down_125,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,M0,AUCinf_Aiv,10000,0.146922276695332,0.073627155548556,-7.40436388808037,0.073627155548556,toward_1,A_iv
